Format Version,1.23,Take Name,23122020-diff-circular-1-run_005,Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2020-12-23 02.15.13.407 ,Total Frames in Take,11598,Total Exported Frames,11598,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,AB31FE5A44BB11EB9535D8E10FC4DB80,C5290,C5290,C5290,C53E0,C53E0,C53E0,B01F0F9344C411EB9535D8E10FC4DB80,B01F0F9344C411EB9535D8E10FC4DB80,B01F0F9344C411EB9535D8E10FC4DB80,C5210,C5210,C5210
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-22.973066,-0.348405,0.617999,0.956379,0.069595,0.785922,0.00055,1.032439,0.06905,0.711419,0.852424,1.029761,0.06943,0.861627,0.910268,0.947612,0.069774,0.858912,0,0.815703,0.070125,0.71173,0.90635,1.032869,0.069049,0.711824,1.029745,0.069429,0.861269,,,,0.815328,0.070127,0.711724
1,0.01,-22.617067,-0.574263,-0.300817,0.957008,0.070766,0.786702,0.001,1.032596,0.069178,0.711735,0.914639,1.030835,0.069206,0.861957,0.682348,0.948688,0.070897,0.859744,0,0.815912,0.073785,0.713371,0.810797,1.032925,0.069171,0.711826,1.029852,0.069227,0.861152,,,,0.81638,0.073775,0.713965
2,0.02,-22.955462,-0.277104,0.589721,0.956469,0.069509,0.78585,0.000542,1.032507,0.069067,0.711324,0.914639,1.029875,0.069245,0.861533,0.682348,0.947725,0.069591,0.858843,0,0.815771,0.070135,0.711701,0.810797,1.032836,0.069066,0.711758,1.02993,0.069245,0.86118,,,,0.815416,0.070137,0.711653
3,0.03,-22.975491,-0.748763,-0.621266,0.956557,0.071224,0.785781,0.000474,1.032606,0.069107,0.711295,0.878656,1.029897,0.069246,0.861503,0.918874,0.947777,0.071455,0.858769,0,0.81595,0.075088,0.711558,0.922436,1.032906,0.069099,0.711676,1.02993,0.069245,0.86118,,,,0.815641,0.075096,0.711526
4,0.04,-23.041262,-0.358649,-0.720277,0.956152,0.070966,0.785972,0.000739,1.03229,0.069447,0.711562,0.878656,1.029406,0.06854,0.861764,0.918874,0.947288,0.070681,0.858949,0,0.815627,0.075195,0.711613,0.922436,1.032906,0.069182,0.711762,1.02993,0.069245,0.86118,0.946327,0.069955,0.85918,0.815438,0.075434,0.71176
5,0.05,-23.075909,-0.673296,0.624923,0.955931,0.069958,0.786174,0.001297,1.032123,0.068861,0.711813,0.806853,1.029178,0.070038,0.862012,0.596811,0.947035,0.070541,0.859146,0.243169,0.81539,0.070394,0.711727,0.932678,1.032849,0.069103,0.711704,1.030032,0.069049,0.861067,0.944908,0.072039,0.860696,0.815416,0.070137,0.711653
6,0.06,-22.797253,-1.781787,1.274387,0.956681,0.071734,0.785546,0.000823,1.032498,0.0692,0.710836,0.806853,1.030311,0.073708,0.860985,0.596811,0.948153,0.073914,0.858531,0.243169,0.815763,0.070114,0.71183,0.932678,1.032907,0.069224,0.71171,1.030414,0.073687,0.860319,,,,0.815343,0.070113,0.711732
7,0.07,-22.925497,-0.291101,0.573094,0.956475,0.069527,0.785864,0.000652,1.032474,0.069049,0.711298,0.837402,1.02992,0.069245,0.861508,0.917875,0.947769,0.06962,0.858861,0,0.815738,0.070196,0.711788,0.877261,1.032991,0.069047,0.711692,1.02993,0.069245,0.86118,,,,0.815248,0.070198,0.711764
8,0.08,-22.998512,-1.390339,1.20973,0.956027,0.071321,0.786003,0.001487,1.032112,0.069412,0.711548,0.837402,1.029386,0.072905,0.861715,0.917875,0.947237,0.072995,0.858971,0,0.815373,0.069971,0.711779,0.877261,1.032907,0.069224,0.71171,1.030447,0.07361,0.860321,0.944908,0.072039,0.860696,0.815381,0.070121,0.711697
9,0.09,-22.996485,-1.44158,1.21559,0.955962,0.07133,0.785947,0.001505,1.032043,0.069337,0.711491,0.7714,1.029324,0.072961,0.861655,0.49645,0.947175,0.07307,0.858914,0.234488,0.815305,0.069953,0.71173,0.953066,1.032906,0.069099,0.711676,1.030255,0.073772,0.860064,0.944908,0.072039,0.860696,0.815381,0.070121,0.711697
10,0.1,-23.065525,-0.689193,0.627514,0.955897,0.069961,0.786218,0.001321,1.032076,0.068839,0.711843,0.7714,1.029157,0.070056,0.862042,0.49645,0.947014,0.070564,0.859192,0.234488,0.815342,0.070386,0.711797,0.953066,1.032861,0.069094,0.711772,1.030032,0.069049,0.861067,0.944908,0.072039,0.860696,0.815328,0.070127,0.711724
11,0.11,-23.105602,-0.755296,0.664491,0.955836,0.070055,0.786258,0.001199,1.032066,0.068846,0.711937,0.794978,1.029044,0.07026,0.862132,0.652836,0.946903,0.070753,0.859224,0.301994,0.815332,0.070362,0.711738,0.937599,1.032836,0.069066,0.711758,1.029745,0.069429,0.861269,0.944908,0.072039,0.860696,0.815381,0.070121,0.711697
12,0.12,-22.92462,-1.607243,-0.111343,0.956141,0.072663,0.786087,0.001532,1.032116,0.069438,0.711565,0.794978,1.029564,0.072164,0.861751,0.652836,0.947437,0.074134,0.859069,0.301994,0.815446,0.074915,0.711962,0.937599,1.032849,0.069103,0.711704,1.030447,0.07361,0.860321,0.944908,0.072039,0.860696,0.815626,0.075227,0.711999
13,0.13,-23.019379,-0.298006,0.564208,0.956114,0.069598,0.785946,0.000801,1.032235,0.069102,0.711505,0.821753,1.029435,0.069306,0.861711,0.77121,0.947289,0.069696,0.858929,0.743281,0.815499,0.070289,0.71164,0.924901,1.032893,0.069187,0.711765,1.030032,0.069049,0.861067,0.946327,0.069955,0.85918,0.815233,0.070212,0.711757
14,0.14,-22.817383,-1.722973,1.251793,0.956763,0.071653,0.785635,0.000813,1.032607,0.069203,0.71095,0.821753,1.030365,0.073546,0.861103,0.77121,0.948208,0.073752,0.858619,0.743281,0.815871,0.07011,0.711866,0.924901,1.032907,0.069224,0.71171,1.030599,0.07353,0.860566,,,,0.815395,0.070107,0.711704
