Format Version,1.23,Take Name,23122020-robot-diff,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 01.12.41.707 ,Total Frames in Take,2898,Total Exported Frames,2898,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,"robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4",robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,"AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","C3600","C3600","C3600","C35C0","C35C0","C35C0","C35F0","C35F0","C35F0","C35B0","C35B0","C35B0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.052619,-0.287982,-0.267610,0.943089,0.074889,0.212951,0.000706,0.983944,0.073815,0.114636,0.721286,1.040219,0.073179,0.253929,0.814491,0.963564,0.074678,0.283556,0.862395,0.784629,0.077883,0.199682,0.885036,0.984919,0.073663,0.115155,1.039956,0.073474,0.253301,0.963144,0.074426,0.283307,0.784473,0.077993,0.200101
1,0.010000,0.092627,-0.202058,-0.307737,0.943080,0.074737,0.212888,0.000755,0.983866,0.073781,0.114544,0.721286,1.040237,0.072898,0.253796,0.814491,0.963604,0.074406,0.283479,0.862395,0.784613,0.077862,0.199734,0.885036,0.984919,0.073663,0.115155,1.040094,0.073107,0.253138,0.963105,0.074226,0.283200,0.784371,0.077941,0.200132
2,0.020000,0.085427,-0.240871,-0.291666,0.943126,0.074913,0.212980,0.000720,0.983925,0.073903,0.114641,0.715370,1.040279,0.073129,0.253902,0.821269,0.963642,0.074636,0.283574,0.839378,0.784660,0.077985,0.199804,0.863274,0.984956,0.073718,0.115087,1.039984,0.073485,0.253356,0.963192,0.074321,0.283240,0.784514,0.078127,0.200312
3,0.030000,0.029725,-0.303479,-0.223641,0.943050,0.074968,0.213026,0.000721,0.983945,0.073898,0.114728,0.705965,1.040165,0.073344,0.254043,0.805908,0.963498,0.074792,0.283640,0.842127,0.784594,0.077836,0.199694,0.849011,0.985033,0.073669,0.115112,1.039701,0.073785,0.253605,0.963204,0.074406,0.283235,0.784412,0.078015,0.200242
4,0.040000,0.023528,-0.278789,-0.237497,0.942996,0.074868,0.212860,0.000595,0.983902,0.073831,0.114566,0.705965,1.040106,0.073203,0.253887,0.805908,0.963436,0.074657,0.283476,0.842127,0.784542,0.077781,0.199512,0.849011,0.984919,0.073663,0.115155,1.039891,0.073495,0.253349,0.963204,0.074406,0.283235,0.784168,0.077894,0.199806
5,0.050000,0.100911,0.212329,-0.168691,0.942897,0.075235,0.213091,0.000730,0.983671,0.075090,0.114737,0.705793,1.040065,0.073335,0.253971,0.826696,0.963433,0.074443,0.283675,0.864822,0.784422,0.078073,0.199982,0.961654,0.984213,0.075017,0.115778,1.039956,0.073474,0.253301,0.963109,0.074327,0.283258,0.784382,0.078113,0.200124
6,0.060000,0.074425,-0.230894,-0.341946,0.943062,0.074840,0.212894,0.000755,0.983879,0.073810,0.114563,0.699690,1.040205,0.072963,0.253834,0.812826,0.963564,0.074532,0.283492,0.856593,0.784601,0.078053,0.199688,0.877004,0.984956,0.073718,0.115087,1.040029,0.073121,0.253124,0.963041,0.074405,0.283292,0.784382,0.078113,0.200124
7,0.070000,0.080481,-0.253772,-0.274491,0.943067,0.074887,0.212948,0.000708,0.983874,0.073867,0.114613,0.699690,1.040216,0.073142,0.253878,0.812826,0.963576,0.074632,0.283543,0.856593,0.784601,0.077909,0.199758,0.877004,0.984956,0.073718,0.115087,1.039861,0.073410,0.253318,0.963204,0.074406,0.283235,0.784412,0.078015,0.200242
