Format Version,1.23,Take Name,robotdiff_23jun_CENTRE_v2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-06-25 09.32.09.337 ,Total Frames in Take,2855,Total Exported Frames,2855,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,robotdiff_CENT...,"robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker1","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker2","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker3","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker4","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5","robotdiff_CENT...:Marker5",robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker1,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker2,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker3,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker4,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5,robotdiff_CENT...:Marker5
,ID,"BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","BB794401B72211EA2C2F332BD074C180","C42B0","C42B0","C42B0","C4830","C4830","C4830","C4970","C4970","C4970","C49C0","C49C0","C49C0","C4A20","C4A20","C4A20"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.050828,-0.099075,0.011333,-0.125183,0.083662,-0.400635,0.000495,-0.218934,0.057655,-0.388524,0.885059,-0.185249,0.101086,-0.426581,0.959810,-0.180905,0.101094,-0.354104,0.960972,-0.001042,0.057168,-0.399619,0.736014,-0.039784,0.101304,-0.434348,0.945144,-0.218489,0.057547,-0.388557,-0.185122,0.101173,-0.426628,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039636,0.101276,-0.434508
1,0.010000,-0.061702,0.030954,-0.058708,-0.125267,0.083725,-0.400653,0.000458,-0.219052,0.057806,-0.388618,0.885059,-0.185307,0.101282,-0.426570,0.959810,-0.180976,0.101120,-0.354093,0.960972,-0.001159,0.057078,-0.399673,0.736014,-0.039840,0.101340,-0.434309,0.945144,-0.218731,0.057688,-0.388705,-0.185321,0.101404,-0.426543,-0.180788,0.101047,-0.354011,-0.002075,0.057283,-0.399430,-0.039578,0.101239,-0.434529
2,0.020000,-0.065404,-0.159933,0.007013,-0.125147,0.083660,-0.400700,0.000510,-0.218904,0.057674,-0.388586,0.911779,-0.185205,0.101062,-0.426680,0.968624,-0.180879,0.101145,-0.354202,0.945695,-0.001009,0.057158,-0.399625,0.757601,-0.039738,0.101260,-0.434410,0.910843,-0.218435,0.057540,-0.388627,-0.185075,0.101167,-0.426710,-0.180775,0.101111,-0.354113,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
3,0.030000,-0.050081,-0.101899,0.014059,-0.125174,0.083647,-0.400675,0.000493,-0.218924,0.057637,-0.388561,0.877808,-0.185241,0.101068,-0.426620,0.957318,-0.180896,0.101079,-0.354144,0.964795,-0.001032,0.057159,-0.399659,0.727285,-0.039776,0.101292,-0.434389,0.942274,-0.218581,0.057453,-0.388566,-0.185046,0.101216,-0.426687,-0.180729,0.101035,-0.354064,-0.002075,0.057283,-0.399430,-0.039640,0.101269,-0.434574
4,0.040000,-0.064554,-0.114614,-0.003985,-0.125155,0.083658,-0.400653,0.000509,-0.218917,0.057681,-0.388558,0.902722,-0.185210,0.101092,-0.426618,0.936326,-0.180883,0.101118,-0.354140,0.952606,-0.001022,0.057132,-0.399600,0.731320,-0.039743,0.101269,-0.434350,0.942501,-0.218532,0.057666,-0.388528,-0.185047,0.101133,-0.426696,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
5,0.050000,-0.121088,-0.171768,0.025811,-0.125168,0.083629,-0.400744,0.000538,-0.218928,0.057615,-0.388715,0.903496,-0.185207,0.101006,-0.426785,0.953481,-0.180951,0.101106,-0.354303,0.949304,-0.001022,0.057168,-0.399542,0.730679,-0.039732,0.101251,-0.434374,0.950893,-0.218605,0.057691,-0.388771,-0.184985,0.100870,-0.426974,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039632,0.101296,-0.434462
6,0.060000,-0.079168,-0.080050,0.023145,-0.125147,0.083615,-0.400677,0.000498,-0.218899,0.057586,-0.388621,0.915817,-0.185204,0.101036,-0.426646,0.919712,-0.180896,0.101020,-0.354168,0.917238,-0.001002,0.057147,-0.399608,0.733774,-0.039735,0.101287,-0.434341,0.964719,-0.218504,0.057447,-0.388647,-0.185047,0.101133,-0.426696,-0.180737,0.100986,-0.354090,-0.002075,0.057283,-0.399430,-0.039596,0.101252,-0.434479
7,0.070000,-0.055357,-0.120060,0.033728,-0.125102,0.083615,-0.400691,0.000554,-0.218844,0.057577,-0.388577,0.895009,-0.185173,0.101007,-0.426647,0.952073,-0.180834,0.101042,-0.354170,0.955146,-0.000951,0.057170,-0.399655,0.725944,-0.039707,0.101279,-0.434403,0.950304,-0.218248,0.057397,-0.388625,-0.185075,0.101167,-0.426710,-0.180744,0.101023,-0.354058,-0.002075,0.057283,-0.399430,-0.039585,0.101218,-0.434578
