Format Version,1.23,Take Name,020120212354_robot-diff-center,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-01-03 12.53.16.324 ,Total Frames in Take,3447,Total Exported Frames,3447,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,"robot-diff-center:Marker1","robot-diff-center:Marker1","robot-diff-center:Marker1","robot-diff-center:Marker1","robot-diff-center:Marker2","robot-diff-center:Marker2","robot-diff-center:Marker2","robot-diff-center:Marker2","robot-diff-center:Marker3","robot-diff-center:Marker3","robot-diff-center:Marker3","robot-diff-center:Marker3","robot-diff-center:Marker4","robot-diff-center:Marker4","robot-diff-center:Marker4","robot-diff-center:Marker4","robot-diff-center:Marker5","robot-diff-center:Marker5","robot-diff-center:Marker5","robot-diff-center:Marker5","robot-diff-center:Marker6","robot-diff-center:Marker6","robot-diff-center:Marker6","robot-diff-center:Marker6",robot-diff-center:Marker1,robot-diff-center:Marker1,robot-diff-center:Marker1,robot-diff-center:Marker2,robot-diff-center:Marker2,robot-diff-center:Marker2,robot-diff-center:Marker3,robot-diff-center:Marker3,robot-diff-center:Marker3,robot-diff-center:Marker4,robot-diff-center:Marker4,robot-diff-center:Marker4,robot-diff-center:Marker5,robot-diff-center:Marker5,robot-diff-center:Marker5,robot-diff-center:Marker6,robot-diff-center:Marker6,robot-diff-center:Marker6
,ID,"5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","5C45762E4D5D11EB2C2F332BD074DC80","C3550","C3550","C3550","C3560","C3560","C3560","C3570","C3570","C3570","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.012286,0.079977,-0.252159,0.795864,0.059971,0.518040,0.000272,0.838748,0.073775,0.590963,0.838619,0.771085,0.030600,0.626235,0.876591,0.766388,0.031086,0.411445,0.787134,0.729102,0.074958,0.594259,0.919851,0.726409,0.076430,0.446870,0.877656,0.943450,0.072975,0.438470,0.900067,0.838677,0.074322,0.591297,0.771464,0.030457,0.626518,0.766160,0.031823,0.411085,0.729016,0.074730,0.594050,0.726361,0.075956,0.446757,0.943500,0.072583,0.438525
1,0.010000,0.032139,0.054622,-0.339192,0.795874,0.059935,0.517976,0.000310,0.838836,0.073707,0.590859,0.838619,0.771134,0.030650,0.626203,0.876591,0.766271,0.031048,0.411417,0.787134,0.729194,0.075058,0.594240,0.919851,0.726388,0.076469,0.446853,0.877656,0.943418,0.072681,0.438286,0.900067,0.838776,0.074418,0.591268,0.771464,0.030457,0.626518,0.766160,0.031823,0.411085,0.728981,0.074734,0.594005,0.726384,0.076037,0.446815,0.943478,0.072202,0.438173
2,0.020000,-0.015790,0.081773,-0.244391,0.795869,0.060013,0.518057,0.000284,0.838747,0.073821,0.590982,0.794510,0.771088,0.030635,0.626250,0.876354,0.766404,0.031127,0.411459,0.787532,0.729101,0.074989,0.594272,0.886691,0.726416,0.076465,0.446884,0.891546,0.943459,0.073040,0.438496,0.876067,0.838745,0.074401,0.591288,0.771467,0.030428,0.626566,0.766160,0.031823,0.411085,0.728973,0.074786,0.594069,0.726406,0.076024,0.446752,0.943465,0.072663,0.438577
3,0.030000,0.010354,0.067573,-0.340620,0.795850,0.059888,0.517957,0.000319,0.838784,0.073641,0.590859,0.836061,0.771068,0.030579,0.626168,0.865978,0.766287,0.031025,0.411380,0.793350,0.729141,0.074994,0.594199,0.921588,0.726392,0.076439,0.446811,0.884884,0.943425,0.072647,0.438325,0.903589,0.838707,0.074338,0.591278,0.771339,0.030341,0.626543,0.766165,0.031759,0.410991,0.728976,0.074733,0.594055,0.726441,0.076010,0.446716,0.943478,0.072202,0.438173
4,0.040000,-0.022427,0.084264,-0.237787,0.795893,0.060006,0.518057,0.000276,0.838762,0.073816,0.590988,0.836583,0.771103,0.030622,0.626246,0.879747,0.766444,0.031122,0.411455,0.794142,0.729115,0.074971,0.594265,0.913470,0.726447,0.076454,0.446876,0.878586,0.943491,0.073054,0.438514,0.900732,0.838772,0.074387,0.591305,0.771464,0.030457,0.626518,0.766230,0.031855,0.411146,0.728976,0.074733,0.594055,0.726456,0.075989,0.446734,0.943465,0.072663,0.438577
5,0.050000,0.024404,0.030530,-0.344728,0.795859,0.059985,0.518007,0.000310,0.838812,0.073782,0.590889,0.819866,0.771102,0.030747,0.626243,0.874371,0.766268,0.031055,0.411455,0.785496,0.729170,0.075145,0.594255,0.889587,0.726385,0.076495,0.446867,0.890266,0.943415,0.072682,0.438330,0.872635,0.838735,0.074415,0.591225,0.771387,0.030627,0.626638,0.766230,0.031855,0.411146,0.728968,0.074790,0.594089,0.726365,0.076066,0.446774,0.943478,0.072202,0.438173
