Format Version,1.23,Take Name,020120212354_robot-diff,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-01-03 12.54.05.835 ,Total Frames in Take,5394,Total Exported Frames,5394,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,"robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4",robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,"540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","540944C24D5D11EB2C2F332BD074DC80","C3550","C3550","C3550","C3580","C3580","C3580","C3590","C3590","C3590","C35A0","C35A0","C35A0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.001283,0.111278,0.168904,0.809106,0.074732,0.517552,0.000317,0.838736,0.074158,0.591077,0.955243,0.728861,0.074537,0.594130,0.957071,0.725953,0.075915,0.446784,0.897259,0.942876,0.074319,0.438217,0.878100,0.838680,0.074233,0.591230,0.728977,0.074458,0.594030,0.726361,0.075956,0.446757,0.942391,0.074278,0.438182
1,0.010000,-0.075739,-0.181674,-0.269086,0.809352,0.074101,0.517556,0.000236,0.838882,0.073676,0.591122,0.955243,0.729010,0.074911,0.594028,0.957071,0.726301,0.075557,0.446673,0.897259,0.943216,0.072260,0.438401,0.878100,0.838684,0.074134,0.591360,0.729007,0.074478,0.594003,0.726319,0.075769,0.446724,0.943401,0.072018,0.438130
2,0.020000,-0.131947,-0.233425,-0.106421,0.809331,0.074121,0.517556,0.000166,0.838790,0.073847,0.591151,0.862024,0.728912,0.074772,0.593949,0.891604,0.726344,0.075277,0.446591,0.945449,0.943276,0.072588,0.438532,0.898106,0.838677,0.074162,0.591231,0.728977,0.074458,0.594030,0.726287,0.075437,0.446507,0.943382,0.072427,0.438455
3,0.030000,-0.137514,-0.097994,-0.195914,0.809388,0.074267,0.517675,0.000132,0.838839,0.073773,0.591273,0.914040,0.728963,0.074863,0.594062,0.917318,0.726411,0.075721,0.446705,0.952657,0.943339,0.072712,0.438662,0.948236,0.838729,0.074187,0.591407,0.728977,0.074458,0.594030,0.726409,0.075923,0.446739,0.943437,0.072499,0.438524
4,0.040000,-0.135036,-0.207217,-0.126681,0.809293,0.074124,0.517568,0.000187,0.838748,0.073806,0.591165,0.912776,0.728870,0.074769,0.593957,0.922561,0.726311,0.075342,0.446599,0.956014,0.943242,0.072580,0.438551,0.942988,0.838595,0.074103,0.591265,0.728961,0.074477,0.594012,0.726234,0.075489,0.446541,0.943382,0.072427,0.438455
5,0.050000,-0.097485,-0.253077,-0.153928,0.809341,0.074092,0.517532,0.000308,0.838844,0.073819,0.591109,0.877487,0.728969,0.074836,0.593973,0.904381,0.726313,0.075293,0.446616,0.943885,0.943238,0.072421,0.438429,0.896600,0.838725,0.074217,0.591369,0.728939,0.074460,0.594035,0.726234,0.075489,0.446541,0.943478,0.072202,0.438173
