Format Version,1.23,Take Name,23122020-diff-ivanjko-2-run_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 01.58.46.196 ,Total Frames in Take,981,Total Exported Frames,981,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,"robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4",robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,"AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","C46F0","C46F0","C46F0","C4680","C4680","C4680","C46A0","C46A0","C46A0","C4570","C4570","C4570"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-141.709244,-0.367596,2.544538,1.099736,0.067572,0.074990,0.001759,1.128520,0.068371,0.177493,0.663365,0.998119,0.070686,0.102928,0.124443,1.039955,0.068462,0.032213,0.469414,1.232350,0.062770,-0.012675,0.953222,1.127303,0.068512,0.178052,1.000004,0.070398,0.105866,1.039577,0.068580,0.030128,1.232361,0.062751,-0.012860
1,0.010000,-141.621445,-0.304745,2.462426,1.099462,0.067656,0.075044,0.001934,1.128400,0.068504,0.177503,0.687381,0.997882,0.070585,0.103137,0.125922,1.039615,0.068439,0.032358,0.441322,1.231950,0.063095,-0.012823,0.924784,1.127329,0.068632,0.178135,0.999940,0.070241,0.105942,1.039577,0.068580,0.030128,1.231681,0.063082,-0.012958
2,0.020000,-142.039215,-0.264703,2.490990,1.098885,0.067735,0.074244,0.001052,1.127076,0.068672,0.176910,0.687381,0.997103,0.070684,0.101593,0.125922,1.039350,0.068479,0.031122,0.441322,1.232010,0.063105,-0.012651,0.924784,1.127208,0.068686,0.177958,1.000087,0.070430,0.105864,1.039654,0.068459,0.030328,1.231619,0.063111,-0.012871
3,0.030000,-141.665146,-0.315321,2.450542,1.099438,0.067725,0.075024,0.001961,1.128299,0.068547,0.177506,0.710254,0.997837,0.070642,0.103040,0.095818,1.039624,0.068517,0.032293,0.458468,1.231994,0.063195,-0.012743,0.906463,1.127329,0.068632,0.178135,1.000087,0.070430,0.105864,1.039577,0.068580,0.030128,1.231637,0.063194,-0.012854
4,0.040000,-142.070480,-0.342247,2.467041,1.098847,0.067768,0.074139,0.001055,1.126983,0.068555,0.176822,0.710254,0.997052,0.070732,0.101437,0.095818,1.039337,0.068599,0.030986,0.458468,1.232018,0.063186,-0.012689,0.906463,1.127182,0.068566,0.177875,1.000079,0.070393,0.105900,1.039577,0.068580,0.030128,1.231637,0.063194,-0.012854
5,0.050000,-142.100983,-0.346320,2.460425,1.098856,0.067764,0.074154,0.001106,1.126936,0.068540,0.176852,0.708643,0.997045,0.070720,0.101398,0.000000,1.039368,0.068598,0.030969,0.783344,1.232073,0.063200,-0.012604,0.898951,1.127118,0.068552,0.178003,0.999954,0.070432,0.105813,1.039577,0.068580,0.030128,1.231736,0.063205,-0.012827
