Format Version,1.23,Take Name,23122020-robot-diff-center,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 01.11.57.908 ,Total Frames in Take,3195,Total Exported Frames,3195,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,robot-diff-center,"robot-diff-center:Marker1","robot-diff-center:Marker1","robot-diff-center:Marker1","robot-diff-center:Marker1","robot-diff-center:Marker2","robot-diff-center:Marker2","robot-diff-center:Marker2","robot-diff-center:Marker2","robot-diff-center:Marker3","robot-diff-center:Marker3","robot-diff-center:Marker3","robot-diff-center:Marker3","robot-diff-center:Marker4","robot-diff-center:Marker4","robot-diff-center:Marker4","robot-diff-center:Marker4","robot-diff-center:Marker5","robot-diff-center:Marker5","robot-diff-center:Marker5","robot-diff-center:Marker5","robot-diff-center:Marker6","robot-diff-center:Marker6","robot-diff-center:Marker6","robot-diff-center:Marker6",robot-diff-center:Marker1,robot-diff-center:Marker1,robot-diff-center:Marker1,robot-diff-center:Marker2,robot-diff-center:Marker2,robot-diff-center:Marker2,robot-diff-center:Marker3,robot-diff-center:Marker3,robot-diff-center:Marker3,robot-diff-center:Marker4,robot-diff-center:Marker4,robot-diff-center:Marker4,robot-diff-center:Marker5,robot-diff-center:Marker5,robot-diff-center:Marker5,robot-diff-center:Marker6,robot-diff-center:Marker6,robot-diff-center:Marker6
,ID,"B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","B8C0B5F944BB11EB9535D8E10FC4DB80","C35B0","C35B0","C35B0","C35C0","C35C0","C35C0","C35D0","C35D0","C35D0","C35E0","C35E0","C35E0","C35F0","C35F0","C35F0","C3600","C3600","C3600"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.083874,-0.068923,-0.191713,0.953439,0.059221,0.208085,0.000344,0.784425,0.077279,0.198987,0.910567,1.040275,0.072824,0.253161,0.903268,0.933858,0.029280,0.099087,0.803681,1.014096,0.027206,0.299289,0.904898,0.963567,0.074152,0.282890,0.844954,0.984412,0.074585,0.115095,0.745693,0.784659,0.077086,0.199176,1.040029,0.073121,0.253124,0.933626,0.030015,0.098937,1.014310,0.026916,0.299170,0.963129,0.074495,0.283163,0.984873,0.073689,0.114957
1,0.010000,0.065374,-0.124200,-0.178851,0.953422,0.059267,0.208086,0.000353,0.784407,0.077278,0.198916,0.910567,1.040240,0.072933,0.253177,0.903268,0.933884,0.029216,0.099110,0.803681,1.014057,0.027354,0.299341,0.904898,0.963523,0.074272,0.282880,0.844954,0.984422,0.074548,0.115091,0.745693,0.784634,0.077002,0.199141,1.040094,0.073107,0.253138,0.933626,0.030015,0.098937,1.014152,0.027167,0.299144,0.963090,0.074687,0.283150,0.984940,0.073602,0.115025
2,0.020000,0.221020,0.159689,-0.263283,0.953309,0.059699,0.208377,0.000302,0.784297,0.078006,0.199756,0.883748,1.040269,0.073013,0.253298,0.931930,0.933430,0.030217,0.099308,0.907711,1.014143,0.027245,0.299308,0.955848,0.963635,0.074319,0.283217,0.883558,0.984079,0.075395,0.115375,0.937883,0.784592,0.078066,0.200111,1.040144,0.073177,0.253121,0.933644,0.030228,0.099007,1.014174,0.027088,0.299233,0.963190,0.074444,0.283277,0.984101,0.075204,0.115532
3,0.030000,0.108396,0.145605,-0.016642,0.953303,0.059519,0.208238,0.000329,0.784231,0.077096,0.199279,0.875267,1.040116,0.073218,0.253328,0.953849,0.933767,0.029927,0.099137,0.956499,1.014096,0.027348,0.299297,0.929316,0.963418,0.074200,0.283095,0.905097,0.984189,0.075326,0.115294,0.921994,0.784695,0.077029,0.199109,1.040059,0.073257,0.253157,0.933601,0.029903,0.099186,1.014174,0.027164,0.299096,0.963190,0.074444,0.283277,0.984127,0.075315,0.115599
4,0.040000,0.101025,-0.113276,-0.262876,0.953311,0.059334,0.208127,0.000318,0.784317,0.077595,0.199065,0.875267,1.040177,0.072864,0.253166,0.953849,0.933661,0.029332,0.099158,0.956499,1.013955,0.027315,0.299339,0.929316,0.963480,0.074310,0.282918,0.905097,0.984276,0.074588,0.115116,0.921994,0.784115,0.077541,0.199297,1.040088,0.073201,0.253115,0.933626,0.030015,0.098937,1.014152,0.027167,0.299144,0.963084,0.074437,0.283320,0.984822,0.073569,0.114958
5,0.050000,0.058764,-0.030483,-0.170991,0.953451,0.059280,0.208077,0.000369,0.784434,0.077284,0.198917,0.897095,1.040262,0.072884,0.253200,0.928603,0.933929,0.029405,0.099050,0.748242,1.014079,0.027226,0.299287,0.955962,0.963541,0.074164,0.282897,0.853099,0.984459,0.074718,0.115111,0.720036,0.784695,0.077029,0.199109,1.040094,0.073107,0.253138,0.933670,0.030334,0.098759,1.014174,0.027088,0.299233,0.963190,0.074444,0.283277,0.984873,0.073689,0.114957
6,0.060000,0.078233,-0.010334,-0.142112,0.953450,0.059214,0.208102,0.000348,0.784422,0.077135,0.199006,0.925570,1.040270,0.072845,0.253200,0.909088,0.933906,0.029367,0.099071,0.774443,1.014126,0.027158,0.299280,0.919169,0.963558,0.074076,0.282923,0.846681,0.984420,0.074700,0.115131,0.719677,0.784610,0.076932,0.199114,1.040144,0.073177,0.253121,0.933644,0.030228,0.099007,1.014310,0.026916,0.299170,0.963109,0.074327,0.283258,0.984873,0.073689,0.114957
7,0.070000,0.196645,-0.127633,-0.421921,0.953401,0.059408,0.208305,0.000396,0.784444,0.078136,0.199520,0.925570,1.040379,0.072709,0.253197,0.909088,0.933487,0.029433,0.099377,0.774443,1.014108,0.027244,0.299424,0.919169,0.963736,0.074375,0.283075,0.846681,0.984254,0.074552,0.115239,0.719677,0.784501,0.078165,0.200064,1.039995,0.073200,0.253138,0.933601,0.029903,0.099186,1.014310,0.026916,0.299170,0.963112,0.074544,0.283362,0.984873,0.073689,0.114957
8,0.080000,0.081520,-0.008251,-0.157220,0.953459,0.059276,0.208034,0.000356,0.784434,0.077242,0.198948,0.908126,1.040284,0.072883,0.253128,0.926469,0.933901,0.029438,0.099003,0.760902,1.014131,0.027201,0.299207,0.918671,0.963575,0.074133,0.282856,0.835987,0.984427,0.074757,0.115062,0.709375,0.784634,0.077002,0.199141,1.040094,0.073107,0.253138,0.933670,0.030334,0.098759,1.014310,0.026993,0.299033,0.963167,0.074524,0.283189,0.984873,0.073689,0.114957
9,0.090000,0.089629,-0.086669,-0.231067,0.953349,0.059300,0.208112,0.000305,0.784347,0.077471,0.199025,0.919510,1.040199,0.072857,0.253175,0.917710,0.933737,0.029338,0.099125,0.822183,1.013993,0.027272,0.299320,0.923222,0.963495,0.074247,0.282911,0.869742,0.984324,0.074614,0.115114,0.703044,0.784096,0.077397,0.199213,1.040144,0.073177,0.253121,0.933626,0.030015,0.098937,1.014174,0.027164,0.299096,0.963151,0.074361,0.283286,0.984940,0.073602,0.115025
10,0.100000,0.082134,-0.013335,-0.149652,0.953439,0.059247,0.208097,0.000335,0.784412,0.077190,0.199012,0.919510,1.040263,0.072870,0.253189,0.917710,0.933884,0.029397,0.099070,0.822183,1.014117,0.027188,0.299273,0.923222,0.963554,0.074113,0.282917,0.869742,0.984404,0.074724,0.115124,0.703044,0.784634,0.077002,0.199141,1.040028,0.073178,0.253177,0.933644,0.030228,0.099007,1.014310,0.026993,0.299033,0.963151,0.074361,0.283286,0.984873,0.073689,0.114957
11,0.110000,0.121656,0.198345,-0.099485,0.953206,0.059575,0.208190,0.000211,0.784158,0.077404,0.199287,0.975854,1.040050,0.073106,0.253272,0.962484,0.933602,0.030111,0.099066,0.965659,1.013975,0.027232,0.299204,0.888452,0.963360,0.074172,0.283057,0.879367,0.984094,0.075422,0.115253,0.911234,0.784096,0.077397,0.199213,1.040029,0.073121,0.253124,0.933644,0.030228,0.099007,1.014310,0.026993,0.299033,0.963058,0.074505,0.283233,0.984101,0.075204,0.115532
12,0.120000,0.091890,0.118274,-0.030934,0.953275,0.059511,0.208237,0.000296,0.784210,0.077125,0.199221,0.887712,1.040079,0.073209,0.253345,0.942196,0.933763,0.029871,0.099144,0.957556,1.014034,0.027368,0.299328,0.970886,0.963372,0.074225,0.283089,0.914066,0.984192,0.075266,0.115294,0.940704,0.784634,0.077002,0.199141,1.040094,0.073107,0.253138,0.933601,0.029903,0.099186,1.014017,0.027325,0.299221,0.963127,0.074439,0.283201,0.984202,0.075281,0.115530
13,0.130000,0.043248,-0.037672,-0.111299,0.953416,0.059345,0.208124,0.000389,0.784383,0.077171,0.198916,0.887712,1.040200,0.073045,0.253269,0.942196,0.933954,0.029436,0.099096,0.957556,1.014053,0.027365,0.299354,0.970886,0.963470,0.074249,0.282945,0.914066,0.984433,0.074803,0.115165,0.940704,0.784634,0.077002,0.199141,1.040034,0.073546,0.253334,0.933670,0.030334,0.098759,1.014174,0.027088,0.299233,0.963094,0.074422,0.283327,0.984873,0.073689,0.114957
14,0.140000,0.074196,-0.096510,-0.117275,0.953397,0.059247,0.208139,0.000340,0.784361,0.077082,0.199005,0.905709,1.040207,0.072985,0.253223,0.867012,0.933873,0.029228,0.099152,0.749890,1.014080,0.027355,0.299370,0.918473,0.963493,0.074227,0.282939,0.859203,0.984366,0.074607,0.115148,0.696051,0.784594,0.076973,0.199091,1.039984,0.073485,0.253356,0.933601,0.029903,0.099186,1.014310,0.026993,0.299033,0.963084,0.074437,0.283320,0.984808,0.073666,0.114863
15,0.150000,0.080921,0.228056,0.001831,0.953307,0.059526,0.208162,0.000337,0.784234,0.077061,0.199146,0.890463,1.040094,0.073187,0.253313,0.950332,0.933833,0.030084,0.099008,0.902889,1.014067,0.027243,0.299203,0.952422,0.963381,0.074102,0.283044,0.876914,0.984233,0.075476,0.115255,0.897321,0.784628,0.076915,0.199023,1.040144,0.073177,0.253121,0.933670,0.030334,0.098759,1.014174,0.027088,0.299233,0.963132,0.074441,0.283300,0.984101,0.075204,0.115532
