Format Version,1.23,Take Name,robotdiff_25jun_CENTRE,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-06-25 02.55.32.791 ,Total Frames in Take,3059,Total Exported Frames,3059,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_CENTRE,robotdiff_CENTRE,robotdiff_CENTRE,robotdiff_CENTRE,robotdiff_CENTRE,robotdiff_CENTRE,robotdiff_CENTRE,"robotdiff_CENTRE:Marker1","robotdiff_CENTRE:Marker1","robotdiff_CENTRE:Marker1","robotdiff_CENTRE:Marker1","robotdiff_CENTRE:Marker2","robotdiff_CENTRE:Marker2","robotdiff_CENTRE:Marker2","robotdiff_CENTRE:Marker2","robotdiff_CENTRE:Marker3","robotdiff_CENTRE:Marker3","robotdiff_CENTRE:Marker3","robotdiff_CENTRE:Marker3","robotdiff_CENTRE:Marker4","robotdiff_CENTRE:Marker4","robotdiff_CENTRE:Marker4","robotdiff_CENTRE:Marker4","robotdiff_CENTRE:Marker5","robotdiff_CENTRE:Marker5","robotdiff_CENTRE:Marker5","robotdiff_CENTRE:Marker5",robotdiff_CENTRE:Marker1,robotdiff_CENTRE:Marker1,robotdiff_CENTRE:Marker1,robotdiff_CENTRE:Marker2,robotdiff_CENTRE:Marker2,robotdiff_CENTRE:Marker2,robotdiff_CENTRE:Marker3,robotdiff_CENTRE:Marker3,robotdiff_CENTRE:Marker3,robotdiff_CENTRE:Marker4,robotdiff_CENTRE:Marker4,robotdiff_CENTRE:Marker4,robotdiff_CENTRE:Marker5,robotdiff_CENTRE:Marker5,robotdiff_CENTRE:Marker5
,ID,"68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","68EE113BB6EB11EA2C2F332BD074C080","C9EA0","C9EA0","C9EA0","CA060","CA060","CA060","C9EB0","C9EB0","C9EB0","CA0B0","CA0B0","CA0B0","C9EC0","C9EC0","C9EC0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.014450,0.063085,-0.027029,0.067078,0.074185,0.044145,0.000116,0.130569,0.091843,0.028204,0.972259,0.132673,0.047105,-0.023190,0.968225,0.082184,0.091902,-0.025616,0.966469,-0.030814,0.047877,0.119042,0.979308,0.020777,0.092197,0.122283,0.954665,0.130502,0.091783,0.028269,0.132668,0.047137,-0.023313,0.082303,0.091875,-0.025673,-0.030737,0.047851,0.119055,0.020651,0.092278,0.122385
1,0.010000,0.010728,0.167587,-0.159390,0.066977,0.073943,0.044173,0.000257,0.130501,0.091484,0.028237,0.972259,0.132479,0.046835,-0.023240,0.968225,0.082093,0.091753,-0.025561,0.966469,-0.030943,0.047725,0.119066,0.979308,0.020753,0.091920,0.122365,0.954665,0.130567,0.091857,0.028248,0.132280,0.046446,-0.023239,0.082293,0.091888,-0.025722,-0.030780,0.047811,0.119050,0.020509,0.091699,0.122539
2,0.020000,-0.087213,-0.014377,-0.078810,0.066919,0.074035,0.044085,0.000203,0.130446,0.091615,0.028201,0.905233,0.132575,0.046805,-0.023130,0.890924,0.082130,0.091644,-0.025680,0.927421,-0.031091,0.047917,0.118893,0.953706,0.020536,0.092195,0.122140,0.906967,0.130714,0.091842,0.028321,0.132280,0.046446,-0.023239,0.082303,0.091875,-0.025673,-0.030847,0.047846,0.119102,0.020151,0.092162,0.121916
3,0.030000,-0.088683,-0.010592,0.023571,0.066962,0.074085,0.044098,0.000143,0.130458,0.091778,0.028217,0.907149,0.132668,0.046976,-0.023116,0.880734,0.082143,0.091725,-0.025665,0.927917,-0.031004,0.047787,0.118903,0.917720,0.020545,0.092156,0.122153,0.888301,0.130567,0.091722,0.028294,0.132469,0.046922,-0.023204,0.082326,0.091849,-0.025635,-0.030704,0.047767,0.119121,0.020151,0.092162,0.121916
4,0.040000,-0.002850,0.041660,-0.090551,0.067025,0.074096,0.044141,0.000129,0.130532,0.091678,0.028181,0.963616,0.132577,0.046918,-0.023197,0.943923,0.082137,0.091770,-0.025629,0.944245,-0.030881,0.047925,0.119068,0.907217,0.020761,0.092189,0.122282,0.885096,0.130524,0.091800,0.028199,0.132409,0.046707,-0.023219,0.082303,0.091875,-0.025673,-0.030764,0.047818,0.119013,0.020651,0.092278,0.122385
5,0.050000,0.007788,0.162952,-0.126019,0.067039,0.074015,0.044194,0.000249,0.130554,0.091591,0.028259,0.969094,0.132561,0.046939,-0.023213,0.932415,0.082149,0.091828,-0.025541,0.949761,-0.030869,0.047746,0.119084,0.958085,0.020800,0.091971,0.122382,0.956322,0.130683,0.091868,0.028209,0.132409,0.046707,-0.023219,0.082303,0.091875,-0.025673,-0.030737,0.047851,0.119055,0.020520,0.091761,0.122613
