Format Version,1.23,Take Name,ivankjo_25jun2020_3_(3),Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2020-06-25 03.48.57.082 ,Total Frames in Take,4045,Total Exported Frames,4045,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,EDBE28E9B6EA11EA2C2F332BD074C080,CD4C0,CD4C0,CD4C0,CCA50,CCA50,CCA50,CD0F0,CD0F0,CD0F0
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
0,0,-41.046413,1.292934,1.109016,-0.12587,0.096031,-1.230882,0.000751,-0.22158,0.093683,-1.207538,0.856806,-0.077717,0.096532,-1.206667,0.875414,-0.078313,0.097879,-1.278442,0.860804,-0.222111,0.093668,-1.207322,-0.077648,0.096543,-1.207161,-0.077839,0.097883,-1.27815
1,0.01,-40.867397,0.949415,1.041641,-0.125659,0.096225,-1.230719,0.000439,-0.221306,0.094426,-1.207065,0.932603,-0.077428,0.096584,-1.206657,0.873341,-0.078244,0.097666,-1.278434,0.865412,-0.221498,0.09442,-1.206877,-0.07766,0.096588,-1.207107,-0.077783,0.097669,-1.278157
2,0.02,-40.966206,1.521041,-0.355543,-0.125621,0.095672,-1.230581,0.000254,-0.221314,0.094456,-1.207078,0.944009,-0.077421,0.094892,-1.206466,0.934516,-0.078129,0.097669,-1.278199,0.912883,-0.221468,0.094449,-1.206916,-0.077596,0.094899,-1.206661,-0.077783,0.097669,-1.278157
3,0.03,-40.994926,1.222985,-0.536598,-0.12574,0.095971,-1.23033,0.000781,-0.221447,0.095353,-1.206866,0.944009,-0.077555,0.094956,-1.206194,0.934516,-0.078216,0.097604,-1.277931,0.912883,-0.220734,0.095342,-1.206628,-0.078773,0.094956,-1.206125,-0.077853,0.097612,-1.278171
4,0.04,-41.345692,1.710834,-0.107112,-0.12625,0.095411,-1.230545,0.000604,-0.222091,0.093682,-1.207687,0.811919,-0.078211,0.094901,-1.206105,0.695033,-0.078449,0.09765,-1.277842,0.89129,-0.222111,0.093668,-1.207322,-0.07883,0.094897,-1.206136,-0.077783,0.097669,-1.278157
5,0.05,-41.065788,1.189591,1.183868,-0.125883,0.09596,-1.230865,0.000717,-0.221602,0.093682,-1.207551,0.860539,-0.077738,0.096504,-1.206634,0.882721,-0.078308,0.097693,-1.278412,0.857543,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077801,0.097699,-1.278152
6,0.06,-41.046505,1.222409,1.194655,-0.12589,0.096016,-1.230872,0.000709,-0.2216,0.093682,-1.207526,0.86247,-0.077737,0.096579,-1.206656,0.885545,-0.078332,0.097789,-1.278433,0.87214,-0.222111,0.093668,-1.207322,-0.07766,0.096588,-1.207107,-0.077892,0.097793,-1.278173
7,0.07,-41.077118,1.224651,1.153137,-0.12586,0.095979,-1.230862,0.000742,-0.221584,0.093683,-1.207567,0.86247,-0.07772,0.096504,-1.206621,0.885545,-0.078277,0.097751,-1.278398,0.87214,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.07773,0.097757,-1.278136
8,0.08,-40.944496,0.788839,1.579045,-0.125728,0.096366,-1.230842,0.001337,-0.221399,0.094259,-1.207315,0.854668,-0.077536,0.097177,-1.206713,0.87955,-0.07825,0.097661,-1.278498,0.848453,-0.222523,0.094234,-1.207041,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
9,0.09,-41.001591,0.940536,1.747907,-0.125625,0.096176,-1.230926,0.001043,-0.221311,0.093689,-1.207499,0.795232,-0.077461,0.097177,-1.206747,0.814954,-0.078102,0.097663,-1.278533,0.876784,-0.222111,0.093668,-1.207322,-0.076995,0.097192,-1.207322,-0.077783,0.097669,-1.278157
10,0.1,-41.211315,1.557273,0.271701,-0.126067,0.095569,-1.230682,0.000365,-0.221853,0.09368,-1.207607,0.903948,-0.077974,0.095369,-1.206344,0.91091,-0.078375,0.097659,-1.278096,0.851094,-0.222111,0.093668,-1.207322,-0.078267,0.095372,-1.206547,-0.077783,0.097669,-1.278157
11,0.11,-41.135784,1.778777,-0.13732,-0.125849,0.095474,-1.230704,0.000544,-0.221604,0.09368,-1.207496,0.903948,-0.077719,0.094953,-1.206442,0.91091,-0.078223,0.09779,-1.278174,0.851094,-0.222111,0.093668,-1.207322,-0.077582,0.09496,-1.206601,-0.077892,0.097793,-1.278173
12,0.12,-41.067535,1.171056,1.199937,-0.125877,0.09595,-1.230868,0.000722,-0.221597,0.093682,-1.207556,0.866054,-0.077733,0.096505,-1.206635,0.947503,-0.0783,0.097662,-1.278413,0.917164,-0.222111,0.093668,-1.207322,-0.077721,0.096512,-1.207103,-0.077783,0.097669,-1.278157
