Format Version,1.23,Take Name,umbmark_23jun2020_5_(2),Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-06-23 10.30.34.763 ,Total Frames in Take,10254,Total Exported Frames,10254,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,"robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker1","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker2","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3","robotdiff_DIFF:Marker3",robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,"6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","6F17EB22B55911EAD66282CFD4AEBF80","C3570","C3570","C3570","C3730","C3730","C3730","C3810","C3810","C3810"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,2.191673,0.721844,0.536222,-0.578760,0.097362,0.478547,0.000368,-0.481889,0.098502,0.452045,0.918279,-0.626337,0.096776,0.531452,0.971859,-0.628056,0.096809,0.452143,0.931514,-0.481565,0.098506,0.452002,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
1,0.010000,2.218216,0.721367,0.547759,-0.578779,0.097372,0.478523,0.000344,-0.481920,0.098531,0.451977,0.918279,-0.626331,0.096776,0.531450,0.971859,-0.628086,0.096809,0.452142,0.931514,-0.481623,0.098535,0.451931,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
2,0.020000,2.198626,0.721470,0.556640,-0.578780,0.097379,0.478545,0.000330,-0.481912,0.098554,0.452032,0.924808,-0.626350,0.096775,0.531456,0.971178,-0.628079,0.096809,0.452147,0.938127,-0.481628,0.098558,0.451997,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
3,0.030000,2.167737,0.820236,0.520067,-0.578815,0.097394,0.478583,0.000352,-0.481932,0.098545,0.452124,0.928441,-0.626413,0.096733,0.531468,0.973243,-0.628099,0.096902,0.452158,0.937009,-0.481647,0.098548,0.452068,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
4,0.040000,2.283866,0.818343,0.553618,-0.578757,0.097423,0.478443,0.000545,-0.481929,0.098631,0.451788,0.927405,-0.626249,0.096735,0.531423,0.962807,-0.628095,0.096903,0.452118,0.938021,-0.481450,0.098637,0.451635,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
5,0.050000,2.193368,0.751730,0.533772,-0.578792,0.097345,0.478522,0.000419,-0.481921,0.098493,0.452018,0.874488,-0.626367,0.096734,0.531428,0.931864,-0.628089,0.096809,0.452119,0.929897,-0.481553,0.098497,0.451935,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
6,0.060000,2.180497,0.752186,0.513762,-0.578789,0.097328,0.478535,0.000419,-0.481912,0.098442,0.452052,0.905512,-0.626375,0.096734,0.531430,0.959485,-0.628079,0.096809,0.452121,0.935370,-0.481542,0.098446,0.451973,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
7,0.070000,2.240189,0.790186,0.475063,-0.578792,0.097370,0.478530,0.000324,-0.481942,0.098433,0.451946,0.933815,-0.626324,0.096775,0.531475,0.965328,-0.628111,0.096902,0.452168,0.941767,-0.481682,0.098436,0.451897,-0.626411,0.096775,0.531368,-0.628281,0.096900,0.452327
8,0.080000,2.198643,0.820638,0.472733,-0.578800,0.097353,0.478545,0.000401,-0.481930,0.098424,0.452032,0.914131,-0.626370,0.096734,0.531456,0.956496,-0.628099,0.096902,0.452148,0.936085,-0.481596,0.098428,0.451952,-0.626513,0.096732,0.531357,-0.628281,0.096900,0.452327
9,0.090000,2.341775,0.717969,0.662646,-0.578750,0.097470,0.478382,0.000481,-0.481950,0.098825,0.451630,0.887105,-0.626188,0.096778,0.531411,0.943128,-0.628113,0.096809,0.452107,0.938029,-0.481518,0.098831,0.451500,-0.626411,0.096775,0.531368,-0.628297,0.096806,0.452272
10,0.100000,2.200621,0.751076,0.570066,-0.578805,0.097376,0.478518,0.000395,-0.481938,0.098585,0.452003,0.911777,-0.626374,0.096734,0.531430,0.960695,-0.628104,0.096809,0.452121,0.938819,-0.481594,0.098590,0.451924,-0.626513,0.096732,0.531357,-0.628297,0.096806,0.452272
