Format Version,1.23,Take Name,umbmark_23jun2020_6_(1),Take Notes,,Capture Frame Rate,100,Export Frame Rate,100,Capture Start Time,2020-06-23 10.44.35.756 ,Total Frames in Take,9788,Total Exported Frames,9788,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker1,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker2,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3,robotdiff_DIFF:Marker3
,ID,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,6F17EB22B55911EAD66282CFD4AEBF80,C3F00,C3F00,C3F00,C3F30,C3F30,C3F30,C3F10,C3F10,C3F10
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z
0,0,2.219408,0.006271,0.685808,-0.563865,0.096924,0.539266,0.000345,-0.467009,0.098035,0.512705,0.94816,-0.611416,0.096846,0.592198,0.929891,-0.61317,0.095892,0.512895,0.918469,-0.466814,0.098037,0.512636,-0.611553,0.096841,0.591953,-0.613237,0.095895,0.513215
1,0.01,2.235917,0.009006,0.735076,-0.563909,0.096969,0.539282,0.000292,-0.467061,0.098165,0.512694,0.94816,-0.611444,0.096846,0.592227,0.929891,-0.61322,0.095897,0.512926,0.918469,-0.46693,0.098167,0.51264,-0.611553,0.096841,0.591953,-0.613251,0.0959,0.513259
2,0.02,2.25462,-0.155124,0.782221,-0.563868,0.096866,0.539276,0.000334,-0.46703,0.098077,0.512653,0.964496,-0.611386,0.096848,0.592237,0.926195,-0.613187,0.095673,0.512939,0.916337,-0.466873,0.098078,0.512572,-0.611553,0.096841,0.591953,-0.613188,0.095678,0.513307
3,0.03,2.21018,-0.305465,0.798812,-0.56384,0.096856,0.539271,0.00029,-0.466983,0.098036,0.51272,0.955749,-0.611399,0.096957,0.592195,0.917559,-0.613139,0.095575,0.512899,0.907975,-0.466814,0.098037,0.512636,-0.611566,0.096952,0.592017,-0.613146,0.095579,0.513161
4,0.04,2.19336,-0.387792,0.783242,-0.56392,0.096915,0.539279,0.000376,-0.467055,0.098035,0.512754,0.952917,-0.611495,0.097103,0.592189,0.938952,-0.613211,0.095606,0.512894,0.934352,-0.466814,0.098037,0.512636,-0.61173,0.097096,0.592006,-0.613224,0.095612,0.513194
5,0.05,2.212404,-0.057977,0.728829,-0.56386,0.096877,0.539275,0.000375,-0.467002,0.098035,0.512725,0.932918,-0.611417,0.096818,0.592201,0.925525,-0.613161,0.095776,0.512899,0.924991,-0.466814,0.098037,0.512636,-0.611602,0.096811,0.591902,-0.613177,0.095781,0.513292
6,0.06,2.271274,-0.099915,0.69317,-0.563864,0.09693,0.53928,0.000359,-0.467033,0.098012,0.51263,0.948033,-0.611367,0.09694,0.592255,0.91209,-0.613193,0.09584,0.512956,0.901762,-0.466825,0.098014,0.512574,-0.611472,0.096935,0.591996,-0.613305,0.095842,0.513278
7,0.07,2.24306,-0.176935,0.791806,-0.563835,0.096948,0.539295,0.000211,-0.466993,0.098166,0.512691,0.946247,-0.611364,0.09694,0.592247,0.930187,-0.613149,0.095736,0.512948,0.914761,-0.46693,0.098167,0.51264,-0.611472,0.096935,0.591996,-0.613108,0.095741,0.513252
8,0.08,2.212878,0.036181,0.681917,-0.563882,0.096919,0.539266,0.000388,-0.467023,0.098035,0.512717,0.979842,-0.611439,0.096817,0.592192,0.931719,-0.613184,0.095905,0.512889,0.923471,-0.466814,0.098037,0.512636,-0.611602,0.096811,0.591902,-0.613242,0.095908,0.513267
9,0.09,2.222648,-0.250082,0.777755,-0.563797,0.09687,0.539271,0.000261,-0.466944,0.098036,0.512699,0.94393,-0.611344,0.09694,0.592205,0.91673,-0.613101,0.095634,0.512908,0.904447,-0.466814,0.098037,0.512636,-0.611472,0.096935,0.591996,-0.61311,0.095638,0.513182
10,0.1,2.177866,-0.110084,0.783003,-0.563862,0.096835,0.539274,0.000368,-0.466989,0.098066,0.512781,0.963711,-0.611451,0.096776,0.592171,0.938661,-0.613146,0.095664,0.51287,0.931327,-0.466784,0.098068,0.512682,-0.611652,0.09677,0.591924,-0.61316,0.095668,0.513217
11,0.11,2.216174,-0.092486,0.738813,-0.563829,0.096874,0.539282,0.000349,-0.466973,0.098036,0.512725,0.943094,-0.611383,0.096837,0.592211,0.920352,-0.613132,0.095748,0.512911,0.913032,-0.466814,0.098037,0.512636,-0.611574,0.09683,0.591909,-0.613113,0.095754,0.513305
12,0.12,2.227029,-0.205609,0.767442,-0.563829,0.09687,0.539287,0.000301,-0.466978,0.098036,0.512709,0.954346,-0.611372,0.096909,0.592225,0.91072,-0.613136,0.095664,0.512927,0.901174,-0.466814,0.098037,0.512636,-0.611519,0.096904,0.592011,-0.61316,0.095668,0.513217
13,0.13,2.219408,0.006271,0.685808,-0.563865,0.096924,0.539266,0.000345,-0.467009,0.098035,0.512705,0.94816,-0.611416,0.096846,0.592198,0.929891,-0.61317,0.095892,0.512895,0.918469,-0.466814,0.098037,0.512636,-0.611553,0.096841,0.591953,-0.613237,0.095895,0.513215
