Format Version,1.23,Take Name,23122020-diff-square-2-run_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 01.29.22.184 ,Total Frames in Take,7876,Total Exported Frames,7876,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,robot-diff,"robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker1","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker2","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker3","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4","robot-diff:Marker4",robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker1,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker2,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker3,robot-diff:Marker4,robot-diff:Marker4,robot-diff:Marker4
,ID,"AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","AB31FE5A44BB11EB9535D8E10FC4DB80","C3A20","C3A20","C3A20","C3A00","C3A00","C3A00","C3910","C3910","C3910","C3A50","C3A50","C3A50"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,159.503067,-0.822744,0.220420,2.111834,0.057823,0.890075,0.000998,2.039068,0.056180,0.967783,0.737710,2.035257,0.057324,0.817604,0.622271,2.117440,0.058445,0.816777,0.751881,2.255569,0.059342,0.958136,0.761080,2.039112,0.056591,0.966819,2.034455,0.056157,0.818131,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
1,0.010000,159.510330,-0.829807,0.232880,2.111813,0.057839,0.890085,0.001034,2.039057,0.056194,0.967803,0.737710,2.035227,0.057366,0.817624,0.622271,2.117409,0.058475,0.816787,0.751881,2.255557,0.059322,0.958128,0.761080,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
2,0.020000,159.510330,-0.829807,0.232880,2.111813,0.057839,0.890085,0.001034,2.039057,0.056194,0.967803,0.734414,2.035227,0.057366,0.817624,0.610698,2.117409,0.058475,0.816787,0.759462,2.255557,0.059322,0.958128,0.759430,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
3,0.030000,159.520386,-0.797990,0.221017,2.111799,0.057799,0.890078,0.001032,2.039057,0.056200,0.967809,0.734414,2.035201,0.057284,0.817630,0.610698,2.117384,0.058392,0.816779,0.759462,2.255556,0.059323,0.958095,0.759430,2.039112,0.056591,0.966819,2.034369,0.056161,0.818240,2.117339,0.059334,0.816667,2.256306,0.058991,0.958634
4,0.040000,159.516861,-0.800548,0.227103,2.111794,0.057812,0.890063,0.001033,2.039047,0.056212,0.967789,0.733513,2.035200,0.057308,0.817610,0.618793,2.117383,0.058409,0.816764,0.762572,2.255547,0.059318,0.958089,0.754708,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117339,0.059334,0.816667,2.256306,0.058991,0.958634
5,0.050000,159.510330,-0.829807,0.232880,2.111813,0.057839,0.890085,0.001034,2.039057,0.056194,0.967803,0.739048,2.035227,0.057366,0.817624,0.623965,2.117409,0.058475,0.816787,0.767372,2.255557,0.059322,0.958128,0.752485,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
6,0.060000,159.511292,-0.789841,0.228610,2.111808,0.057801,0.890068,0.001032,2.039053,0.056221,0.967788,0.734414,2.035221,0.057292,0.817608,0.610698,2.117404,0.058386,0.816769,0.759462,2.255554,0.059305,0.958108,0.759430,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117384,0.059288,0.816688,2.256306,0.058991,0.958634
7,0.070000,159.521667,-0.865583,0.231385,2.111788,0.057871,0.890106,0.001038,2.039047,0.056163,0.967836,0.740291,2.035187,0.057422,0.817659,0.623701,2.117370,0.058551,0.816807,0.773496,2.255545,0.059350,0.958121,0.757499,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117311,0.059576,0.816810,2.256306,0.058991,0.958634
8,0.080000,159.513824,-0.800408,0.273036,2.111839,0.057765,0.890087,0.001156,2.039088,0.056198,0.967810,0.723594,2.035248,0.057339,0.817631,0.608711,2.117431,0.058378,0.816788,0.743328,2.255590,0.059144,0.958119,0.753676,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117339,0.059334,0.816667,2.256531,0.058773,0.958772
9,0.090000,159.273392,-0.300210,0.200652,2.112379,0.057313,0.889843,0.001171,2.039299,0.056553,0.967269,0.733425,2.036092,0.056406,0.817071,0.613438,2.118280,0.057284,0.816566,0.758177,2.255845,0.059009,0.958467,0.699003,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.119259,0.057412,0.816023,2.256306,0.058991,0.958634
10,0.100000,159.510330,-0.829807,0.232880,2.111813,0.057839,0.890085,0.001034,2.039057,0.056194,0.967803,0.877742,2.035227,0.057366,0.817624,0.480523,2.117409,0.058475,0.816787,0.718202,2.255557,0.059322,0.958128,0.877383,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
11,0.110000,159.706482,-3.110465,-0.433845,2.111880,0.056203,0.890448,0.001066,2.039455,0.050172,0.968257,0.734414,2.035081,0.056236,0.818211,0.610698,2.117208,0.059411,0.817197,0.759462,2.255777,0.058991,0.958127,0.759430,2.038028,0.060362,0.963505,2.034349,0.056209,0.818186,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
12,0.120000,159.273392,-0.300210,0.200652,2.112379,0.057313,0.889843,0.001171,2.039299,0.056553,0.967269,0.000000,2.036092,0.056406,0.817071,0.816844,2.118280,0.057284,0.816566,0.877952,2.255845,0.059009,0.958467,0.816834,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.119259,0.057412,0.816023,2.256306,0.058991,0.958634
13,0.130000,159.510330,-0.829807,0.232880,2.111813,0.057839,0.890085,0.001034,2.039057,0.056194,0.967803,0.734414,2.035227,0.057366,0.817624,0.610698,2.117409,0.058475,0.816787,0.759462,2.255557,0.059322,0.958128,0.759430,2.039112,0.056591,0.966819,2.034349,0.056209,0.818186,2.117397,0.059436,0.816747,2.256306,0.058991,0.958634
