4031.52,0,1,2
4031.56,48,-12,7
4031.6,51,-7,11
4031.64,59,-3,23
4031.68,70,-1,28
4031.72,109,-5,27
4031.76,120,-12,45
4031.8,142,-26,26
4031.84,156,-35,22
4031.88,167,-49,23
4031.92,191,-64,17
4031.96,198,-83,12
4032,218,-96,10
4032.04,232,-122,15
4032.08,268,-140,21
4032.12,277,-148,20
4032.16,361,-146,26
4032.2,282,-173,48
4032.24,291,-152,49
4032.28,319,-161,56
4032.32,322,-167,60
4032.36,316,-173,83
4032.4,311,-181,85
4032.44,334,-191,94
4032.48,340,-210,77
4032.52,365,-191,78
4032.56,344,-197,107
4032.6,362,-195,98
4032.64,357,-205,93
4032.68,367,-186,85
4032.72,358,-206,88
4032.76,357,-212,96
4032.8,451,-261,90
4032.84,375,-180,106
4032.88,359,-200,83
4032.92,354,-207,90
4032.96,349,-208,72
4033,354,-184,88
4033.04,366,-193,103
4033.08,442,-260,170
4033.12,368,-193,124
4033.16,356,-204,118
4033.2,357,-199,93
4033.24,338,-220,84
4033.28,354,-212,68
4033.32,325,-233,57
4033.36,337,-199,49
4033.4,333,-195,48
4033.44,347,-195,57
4033.48,418,-203,46
4033.52,341,-262,41
4033.56,332,-201,40
4033.6,333,-214,51
4033.64,340,-212,57
4033.68,326,-221,70
4033.72,336,-207,77
4033.76,310,-200,83
4033.8,331,-201,90
4033.84,324,-203,90
4033.88,330,-202,110
4033.92,339,-216,104
4033.96,440,-272,99
4034,343,-197,125
4034.04,247,-129,85
4034.08,336,-191,106
4034.12,433,-186,90
4034.16,329,-254,120
4034.2,330,-192,95
4034.24,319,-206,87
4034.28,364,-215,70
4034.32,344,-202,51
4034.36,343,-177,55
4034.4,339,-177,42
4034.44,359,-189,35
4034.48,346,-211,23
4034.52,330,-223,37
4034.56,304,-221,23
4034.6,399,-280,19
4034.64,355,-201,30
4034.68,329,-200,47
4034.72,316,-192,58
4034.76,320,-177,52
4034.8,349,-183,57
4034.84,324,-205,52
4034.88,316,-219,62
4034.92,327,-200,61
4034.96,360,-167,74
4035,349,-173,72
4035.04,342,-160,92
4035.08,339,-175,102
4035.12,348,-158,102
4035.16,342,-180,107
4035.2,428,-185,122
4035.24,238,-198,124
4035.28,337,-183,117
4035.32,319,-177,111
4035.36,316,-179,116
4035.4,407,-189,92
4035.44,330,-244,91
4035.48,310,-190,109
4035.52,319,-171,81
4035.56,326,-183,73
4035.6,358,-191,44
4035.64,321,-198,46
4035.68,315,-174,49
4035.72,315,-184,51
4035.76,350,-192,44
4035.8,337,-201,42
4035.84,404,-183,51
4035.88,321,-207,41
4035.92,258,-115,45
4035.96,432,-209,49
4036,237,-144,43
4036.04,372,-189,55
4036.08,300,-256,58
4036.12,346,-198,38
4036.16,336,-186,48
4036.2,332,-185,71
4036.24,319,-179,67
4036.28,335,-193,72
4036.32,325,-216,71
4036.36,311,-217,72
4036.4,313,-249,72
4036.44,359,-229,50
4036.48,352,-225,65
4036.52,366,-209,82
4036.56,361,-197,81
4036.6,396,-203,80
4036.64,357,-212,77
4036.68,453,-219,74
4036.72,374,-291,63
4036.76,366,-217,52
4036.8,357,-218,56
4036.84,360,-195,45
4036.88,370,-183,44
4036.92,359,-192,50
4036.96,328,-204,26
4037,327,-201,22
4037.04,347,-197,6
4037.08,341,-201,22
4037.12,393,-211,28
4037.16,243,-186,30
4037.2,425,-210,58
4037.24,268,-115,39
4037.28,318,-172,77
4037.32,390,-185,97
4037.36,316,-152,91
4037.4,317,-153,77
4037.44,334,-176,85
4037.48,293,-204,91
4037.52,305,-174,95
4037.56,405,-165,107
4037.6,357,-201,129
4037.64,239,-134,133
4037.68,417,-220,172
4037.72,331,-178,116
4037.76,360,-148,80
4037.8,332,-283,96
4037.84,336,-223,137
4037.88,349,-192,104
4037.92,381,-195,118
4037.96,351,-212,107
4038,354,-221,94
4038.04,346,-222,83
4038.08,351,-228,65
4038.12,346,-251,56
4038.16,344,-217,60
4038.2,425,-211,74
4038.24,342,-261,76
4038.28,357,-207,93
4038.32,358,-221,60
4038.36,333,-224,63
4038.4,335,-212,47
4038.44,365,-196,67
4038.48,354,-194,60
4038.52,356,-185,71
4038.56,338,-195,83
4038.6,429,-226,99
4038.64,363,-192,90
4038.68,339,-199,73
4038.72,319,-181,118
4038.76,306,-168,85
4038.8,315,-159,80
4038.84,303,-177,69
4038.88,306,-189,55
4038.92,288,-193,48
4038.96,311,-175,35
4039,297,-189,40
4039.04,314,-190,29
4039.08,412,-167,26
4039.12,339,-201,37
4039.16,320,-156,64
4039.2,309,-166,66
4039.24,327,-179,49
4039.28,334,-188,46
4039.32,325,-213,46
4039.36,328,-201,48
4039.4,348,-197,44
4039.44,381,-191,54
4039.48,439,-252,98
4039.52,337,-211,68
4039.56,350,-208,74
4039.6,360,-201,72
4039.64,363,-213,78
4039.68,333,-234,77
4039.72,343,-204,84
4039.76,348,-190,92
4039.8,367,-182,89
