Format Version,1.23,Take Name,21122020-newmethod-7-run_011,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-22 06.46.32.413 ,Total Frames in Take,6932,Total Exported Frames,6932,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","D49C0","D49C0","D49C0","D55E0","D55E0","D55E0","D5050","D5050","D5050","D1300","D1300","D1300"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,59.795071,1.711299,-1.819672,1.344684,0.783773,-0.833550,0.000380,1.250698,0.788190,-0.889648,0.932496,1.374253,0.783204,-0.796989,0.924572,1.339112,0.785507,-0.751249,0.949818,1.414671,0.778193,-0.896315,0.000000,1.250499,0.788197,-0.889831,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
1,0.010000,59.928497,0.983598,-0.015976,1.344682,0.784906,-0.833757,0.000443,1.250507,0.787969,-0.889627,0.949200,1.374325,0.784368,-0.797254,0.676735,1.339220,0.784776,-0.751430,0.818262,1.414677,0.782511,-0.896716,0.848114,1.250442,0.787916,-0.889812,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
2,0.020000,59.840710,1.615855,-1.830924,1.344625,0.783697,-0.833548,0.000407,1.250589,0.787931,-0.889574,0.925612,1.374225,0.783204,-0.797009,0.918474,1.339118,0.785506,-0.751244,0.950232,1.414570,0.778148,-0.896363,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,,,
3,0.030000,59.944138,0.992416,-0.018519,1.344663,0.784912,-0.833746,0.000463,1.250473,0.787992,-0.889590,0.925612,1.374315,0.784368,-0.797251,0.918474,1.339223,0.784780,-0.751418,0.950232,1.414640,0.782508,-0.896725,0.000000,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339280,0.785497,-0.751359,1.414724,0.782943,-0.897140
4,0.040000,59.832207,1.612538,-1.805722,1.344631,0.783703,-0.833499,0.000411,1.250603,0.787931,-0.889539,0.945688,1.374225,0.783205,-0.796956,0.677069,1.339110,0.785482,-0.751195,0.819519,1.414588,0.778194,-0.896305,0.848155,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,,,
5,0.050000,59.943668,1.001967,-0.008722,1.344663,0.784900,-0.833711,0.000484,1.250474,0.787998,-0.889555,0.937692,1.374315,0.784346,-0.797216,0.685917,1.339223,0.784749,-0.751383,0.814469,1.414641,0.782507,-0.896689,0.841677,1.250367,0.787939,-0.889772,1.374283,0.783206,-0.796688,1.339282,0.785473,-0.751231,1.414724,0.782943,-0.897140
