Format Version,1.23,Take Name,21122020-joystick-run_002,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-21 07.39.48.755 ,Total Frames in Take,9686,Total Exported Frames,9686,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","C3530","C3530","C3530","C4C00","C4C00","C4C00","C45C0","C45C0","C45C0","C3560","C3560","C3560"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-62.916412,-0.232467,0.624064,0.149364,0.801034,-0.158384,0.001056,0.247410,0.801786,-0.207232,0.883469,0.102616,0.801242,-0.153278,0.760545,0.083162,0.800853,-0.207625,0.000000,0.164267,0.800256,-0.065399,0.851009,0.246970,0.801784,-0.207077,0.103505,0.801238,-0.152920,,,,0.163919,0.800261,-0.065883
1,0.010000,-62.904560,-0.323949,0.535777,0.149327,0.801124,-0.158272,0.000964,0.247365,0.801699,-0.207140,0.883469,0.102582,0.801428,-0.153157,0.760545,0.083115,0.801116,-0.207501,0.000000,0.164247,0.800255,-0.065291,0.851009,0.247060,0.801698,-0.206983,0.103276,0.801422,-0.152727,,,,0.163913,0.800262,-0.065878
2,0.020000,-62.886536,-0.260734,0.601106,0.149370,0.801054,-0.158296,0.001073,0.247391,0.801752,-0.207195,0.914197,0.102625,0.801291,-0.153166,0.795737,0.083142,0.800921,-0.207503,0.000000,0.164321,0.800255,-0.065319,0.831017,0.247017,0.801750,-0.207061,0.103505,0.801285,-0.152710,,,,0.163919,0.800261,-0.065883
3,0.030000,-62.863449,-0.325880,0.563699,0.149311,0.801117,-0.158304,0.001018,0.247313,0.801689,-0.207243,0.900613,0.102569,0.801414,-0.153156,0.752409,0.083063,0.801074,-0.207485,0.000000,0.164298,0.800292,-0.065334,0.826866,0.246991,0.801688,-0.207116,0.103368,0.801407,-0.152685,,,,0.163903,0.800300,-0.065917
4,0.040000,-62.851955,-0.275247,0.529381,0.149284,0.801160,-0.158322,0.000919,0.247276,0.801828,-0.207279,0.913416,0.102543,0.801428,-0.153164,0.768071,0.083027,0.801128,-0.207489,0.000000,0.164290,0.800255,-0.065355,0.823892,0.246989,0.801827,-0.207177,0.103276,0.801422,-0.152727,,,,0.163913,0.800262,-0.065878
5,0.050000,-62.875751,-0.298866,0.544492,0.149272,0.801146,-0.158302,0.000976,0.247285,0.801769,-0.207218,0.923756,0.102529,0.801428,-0.153163,0.786590,0.083035,0.801110,-0.207497,0.000000,0.164239,0.800277,-0.065328,0.838665,0.246968,0.801768,-0.207082,0.103276,0.801422,-0.152727,,,,0.163878,0.800285,-0.065891
