Format Version,1.23,Take Name,22122020-joystick-2-run_005,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-22 11.40.14.125 ,Total Frames in Take,8405,Total Exported Frames,8405,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","C3590","C3590","C3590","C6770","C6770","C6770","CAD20","CAD20","CAD20","C3580","C3580","C3580"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,44.948227,0.741989,0.043403,0.756248,0.791400,-0.497114,0.001046,0.679706,0.794002,-0.575436,0.836074,0.775448,0.791030,-0.454188,0.838465,0.729690,0.791347,-0.418998,0.773710,0.840147,0.789219,-0.539834,0.503691,0.680360,0.793985,-0.575388,0.775544,0.791051,-0.453549,0.729130,0.791340,-0.418287,0.839775,0.789225,-0.541784
1,0.010000,44.666836,0.636937,0.415193,0.756323,0.791599,-0.496620,0.000293,0.680158,0.794009,-0.575315,0.836074,0.775311,0.791201,-0.453601,0.838465,0.729377,0.791134,-0.418638,0.773710,0.840445,0.790053,-0.538928,0.503691,0.680360,0.793985,-0.575388,0.775449,0.790955,-0.453505,0.729132,0.791312,-0.418359,0.840336,0.790155,-0.539229
2,0.020000,44.693241,0.648796,0.397756,0.756355,0.791626,-0.496593,0.000325,0.680154,0.794057,-0.575253,0.945972,0.775363,0.791224,-0.453582,0.925466,0.729445,0.791175,-0.418599,0.896758,0.840457,0.790047,-0.538940,0.915944,0.680395,0.794030,-0.575284,0.775461,0.790956,-0.453532,0.729161,0.791374,-0.418259,0.840381,0.790159,-0.539297
3,0.030000,44.685577,0.657039,0.413984,0.756352,0.791631,-0.496593,0.000299,0.680161,0.794079,-0.575262,0.938889,0.775354,0.791218,-0.453579,0.927746,0.729431,0.791154,-0.418602,0.878497,0.840460,0.790073,-0.538928,0.904413,0.680366,0.794059,-0.575300,0.775483,0.791018,-0.453404,0.729164,0.791296,-0.418379,0.840381,0.790159,-0.539297
4,0.040000,44.936241,0.771727,0.046022,0.756215,0.791352,-0.497133,0.001022,0.679690,0.794012,-0.575470,0.947613,0.775406,0.790959,-0.454203,0.926120,0.729641,0.791277,-0.419022,0.905930,0.840122,0.789161,-0.539837,0.903227,0.680360,0.793985,-0.575388,0.775428,0.790896,-0.453633,0.729114,0.791328,-0.418293,0.839775,0.789225,-0.541784
5,0.050000,44.694519,0.615063,0.394687,0.756367,0.791639,-0.496627,0.000352,0.680164,0.794006,-0.575286,0.831176,0.775376,0.791264,-0.453616,0.856422,0.729460,0.791214,-0.418631,0.774913,0.840469,0.790072,-0.538974,0.505119,0.680360,0.793985,-0.575388,0.775544,0.791051,-0.453549,0.729161,0.791374,-0.418259,0.840381,0.790159,-0.539297
