Format Version,1.23,Take Name,22122020-square-1-run_006,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-22 08.38.43.954 ,Total Frames in Take,6341,Total Exported Frames,6341,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,robot-omni3,"robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker1","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker2","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker3","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4","robot-omni3:Marker4",robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker1,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker2,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker3,robot-omni3:Marker4,robot-omni3:Marker4,robot-omni3:Marker4
,ID,"11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","11562AE343C311EB2C2F332BD074DB80","C56E0","C56E0","C56E0","C5710","C5710","C5710","C58E0","C58E0","C58E0","C56F0","C56F0","C56F0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-124.976204,-0.267130,1.009976,0.219606,0.797653,-0.731967,0.000278,0.308706,0.798346,-0.668244,0.957285,0.193192,0.797775,-0.770873,0.928281,0.232085,0.796996,-0.813523,0.920873,0.144443,0.797496,-0.675229,0.913597,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232310,0.796838,-0.813681,0.144138,0.797409,-0.675091
1,0.010000,-124.988991,-0.237419,1.011443,0.219597,0.797658,-0.731952,0.000250,0.308682,0.798408,-0.668209,0.966188,0.193192,0.797756,-0.770864,0.940511,0.232095,0.796980,-0.813504,0.921966,0.144421,0.797488,-0.675230,0.918740,0.308781,0.798423,-0.668299,0.193155,0.797953,-0.770735,0.232310,0.796838,-0.813681,0.144138,0.797409,-0.675091
2,0.020000,-124.960938,-0.277360,1.021788,0.219608,0.797675,-0.731918,0.000290,0.308724,0.798348,-0.668219,0.966188,0.193184,0.797801,-0.770818,0.940511,0.232065,0.797008,-0.813477,0.921966,0.144460,0.797541,-0.675160,0.918740,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
3,0.030000,-124.951645,-0.265409,1.038944,0.219585,0.797652,-0.731943,0.000278,0.308712,0.798349,-0.668258,0.961224,0.193154,0.797764,-0.770838,0.946182,0.232029,0.796956,-0.813503,0.923327,0.144446,0.797539,-0.675172,0.910748,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232267,0.796821,-0.813642,0.144151,0.797464,-0.674985
4,0.040000,-124.960938,-0.277360,1.021788,0.219608,0.797675,-0.731918,0.000290,0.308724,0.798348,-0.668219,0.961224,0.193184,0.797801,-0.770818,0.946182,0.232065,0.797008,-0.813477,0.923327,0.144460,0.797541,-0.675160,0.910748,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
5,0.050000,-124.955734,-0.261443,1.027495,0.219593,0.797649,-0.731917,0.000285,0.308715,0.798353,-0.668226,0.953924,0.193165,0.797761,-0.770814,0.954157,0.232043,0.796965,-0.813477,0.925384,0.144450,0.797516,-0.675152,0.913485,0.308763,0.798363,-0.668404,0.193155,0.797894,-0.770689,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
6,0.060000,-124.956917,-0.264498,1.034234,0.219610,0.797652,-0.731930,0.000307,0.308731,0.798350,-0.668237,0.953924,0.193182,0.797764,-0.770827,0.954157,0.232061,0.796961,-0.813489,0.925384,0.144465,0.797531,-0.675166,0.913485,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232310,0.796838,-0.813681,0.144151,0.797464,-0.674985
7,0.070000,-124.966660,-0.271957,1.027733,0.219569,0.797666,-0.731926,0.000322,0.308679,0.798350,-0.668217,0.948746,0.193148,0.797786,-0.770827,0.952225,0.232034,0.796988,-0.813483,0.921968,0.144415,0.797539,-0.675174,0.892353,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144044,0.797470,-0.674967
8,0.080000,-124.958206,-0.270735,1.024282,0.219594,0.797664,-0.731929,0.000281,0.308713,0.798350,-0.668234,0.948746,0.193167,0.797784,-0.770827,0.952225,0.232047,0.796990,-0.813489,0.921968,0.144448,0.797531,-0.675167,0.892353,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
9,0.090000,-124.958206,-0.270735,1.024282,0.219594,0.797664,-0.731929,0.000281,0.308713,0.798350,-0.668234,0.955651,0.193167,0.797784,-0.770827,0.951804,0.232047,0.796990,-0.813489,0.925012,0.144448,0.797531,-0.675167,0.911381,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
10,0.100000,-124.958603,-0.268011,1.024971,0.219608,0.797659,-0.731907,0.000294,0.308727,0.798351,-0.668211,0.955651,0.193182,0.797777,-0.770805,0.951804,0.232061,0.796983,-0.813466,0.925012,0.144462,0.797526,-0.675145,0.911381,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
11,0.110000,-125.111214,0.034680,1.040539,0.219233,0.797816,-0.731989,0.001081,0.308178,0.799087,-0.668059,0.578064,0.192910,0.797697,-0.770957,0.895420,0.231907,0.796927,-0.813512,0.864710,0.143937,0.797553,-0.675427,0.875240,0.306789,0.799100,-0.669018,0.193155,0.797953,-0.770735,0.232419,0.796753,-0.813512,0.144151,0.797464,-0.674985
12,0.120000,-124.999496,-0.243733,1.048509,0.219647,0.797667,-0.731871,0.000293,0.308721,0.798405,-0.668112,0.578064,0.193249,0.797759,-0.770788,0.895420,0.232159,0.796945,-0.813421,0.864710,0.144461,0.797558,-0.675162,0.875240,0.308781,0.798423,-0.668299,0.193213,0.797996,-0.770692,0.232442,0.796774,-0.813502,0.144151,0.797464,-0.674985
13,0.130000,-124.958206,-0.270735,1.024282,0.219594,0.797664,-0.731929,0.000281,0.308713,0.798350,-0.668234,0.955651,0.193167,0.797784,-0.770827,0.951804,0.232047,0.796990,-0.813489,0.925012,0.144448,0.797531,-0.675167,0.911381,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
14,0.140000,-124.975822,-0.261324,1.003928,0.219604,0.797646,-0.731932,0.000269,0.308703,0.798350,-0.668210,0.955651,0.193189,0.797765,-0.770838,0.951804,0.232083,0.796992,-0.813488,0.925012,0.144441,0.797476,-0.675193,0.911381,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232302,0.796870,-0.813589,0.144138,0.797409,-0.675091
15,0.150000,-124.950844,-0.259645,1.032702,0.219583,0.797645,-0.731908,0.000269,0.308710,0.798353,-0.668224,0.953099,0.193151,0.797754,-0.770802,0.954863,0.232025,0.796953,-0.813468,0.933130,0.144444,0.797519,-0.675136,0.916450,0.308763,0.798363,-0.668404,0.193155,0.797894,-0.770689,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
16,0.160000,-124.978027,-0.270672,1.000694,0.219604,0.797661,-0.731944,0.000265,0.308701,0.798347,-0.668218,0.953099,0.193191,0.797788,-0.770851,0.954863,0.232086,0.797018,-0.813499,0.933130,0.144439,0.797491,-0.675208,0.916450,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232302,0.796870,-0.813589,0.144138,0.797409,-0.675091
17,0.170000,-124.960938,-0.277360,1.021788,0.219608,0.797675,-0.731918,0.000290,0.308724,0.798348,-0.668219,0.952669,0.193184,0.797801,-0.770818,0.941450,0.232065,0.797008,-0.813477,0.925830,0.144460,0.797541,-0.675160,0.909256,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
18,0.180000,-124.953682,-0.266198,1.030223,0.219597,0.797655,-0.731897,0.000278,0.308722,0.798351,-0.668209,0.952669,0.193168,0.797770,-0.770793,0.941450,0.232044,0.796971,-0.813457,0.925830,0.144456,0.797529,-0.675129,0.909256,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
19,0.190000,-124.956917,-0.264498,1.034234,0.219610,0.797652,-0.731930,0.000307,0.308730,0.798350,-0.668237,0.957356,0.193182,0.797764,-0.770827,0.937125,0.232061,0.796961,-0.813489,0.915684,0.144465,0.797531,-0.675166,0.907843,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232310,0.796838,-0.813681,0.144151,0.797464,-0.674985
20,0.200000,-125.061310,0.091365,1.002073,0.219205,0.797889,-0.732051,0.001146,0.308204,0.799267,-0.668199,0.957356,0.192849,0.797738,-0.770996,0.937125,0.231810,0.797013,-0.813585,0.915684,0.143959,0.797537,-0.675423,0.907843,0.306714,0.799273,-0.669254,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
21,0.210000,-124.953682,-0.266198,1.030223,0.219597,0.797655,-0.731897,0.000278,0.308722,0.798351,-0.668209,0.950076,0.193168,0.797770,-0.770793,0.943490,0.232044,0.796971,-0.813457,0.934302,0.144456,0.797529,-0.675129,0.914151,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
22,0.220000,-124.955963,-0.275541,1.027111,0.219598,0.797670,-0.731909,0.000274,0.308720,0.798348,-0.668217,0.950076,0.193170,0.797793,-0.770806,0.943490,0.232048,0.796996,-0.813469,0.934302,0.144454,0.797544,-0.675143,0.914151,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
23,0.230000,-124.958206,-0.270735,1.024282,0.219594,0.797664,-0.731929,0.000281,0.308713,0.798350,-0.668234,0.955651,0.193167,0.797784,-0.770827,0.951804,0.232047,0.796990,-0.813489,0.925012,0.144448,0.797531,-0.675167,0.911381,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
24,0.240000,,,,,,,,,,,,,,,,,,,,,,,,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
25,0.250000,-124.978065,-0.252420,1.026783,0.219580,0.797686,-0.731877,0.000288,0.308677,0.798407,-0.668152,0.954654,0.193167,0.797791,-0.770784,0.942569,0.232061,0.796997,-0.813432,0.932046,0.144414,0.797547,-0.675141,0.895752,0.308781,0.798423,-0.668299,0.193213,0.797996,-0.770692,0.232260,0.796853,-0.813550,0.144049,0.797462,-0.674960
26,0.260000,-124.968010,-0.252970,1.011706,0.219579,0.797631,-0.731933,0.000243,0.308687,0.798351,-0.668223,0.950814,0.193159,0.797741,-0.770836,0.946930,0.232046,0.796962,-0.813491,0.938274,0.144423,0.797469,-0.675184,0.923435,0.308763,0.798363,-0.668404,0.193155,0.797894,-0.770689,0.232260,0.796853,-0.813550,0.144138,0.797409,-0.675091
27,0.270000,-124.951645,-0.265409,1.038944,0.219585,0.797652,-0.731943,0.000278,0.308712,0.798349,-0.668258,0.950814,0.193154,0.797764,-0.770838,0.946930,0.232029,0.796956,-0.813503,0.938274,0.144446,0.797539,-0.675172,0.923435,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232267,0.796821,-0.813642,0.144151,0.797464,-0.674985
28,0.280000,-124.951920,-0.262652,1.039581,0.219599,0.797647,-0.731920,0.000290,0.308726,0.798350,-0.668235,0.956653,0.193169,0.797757,-0.770815,0.937408,0.232043,0.796949,-0.813481,0.924028,0.144460,0.797534,-0.675149,0.910801,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232267,0.796821,-0.813642,0.144151,0.797464,-0.674985
29,0.290000,-124.960228,-0.269076,1.029732,0.219559,0.797659,-0.731914,0.000306,0.308677,0.798349,-0.668216,0.956653,0.193134,0.797777,-0.770813,0.937408,0.232015,0.796978,-0.813473,0.924028,0.144412,0.797534,-0.675154,0.910801,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232260,0.796853,-0.813550,0.144049,0.797462,-0.674960
30,0.300000,-124.959320,-0.273831,1.031085,0.219610,0.797667,-0.731941,0.000303,0.308728,0.798347,-0.668245,0.959115,0.193185,0.797787,-0.770840,0.935673,0.232065,0.796986,-0.813501,0.915406,0.144463,0.797546,-0.675181,0.905626,0.308763,0.798363,-0.668404,0.193213,0.797996,-0.770692,0.232310,0.796838,-0.813681,0.144151,0.797464,-0.674985
31,0.310000,-124.973816,-0.247408,1.023499,0.219599,0.797679,-0.731903,0.000254,0.308701,0.798410,-0.668184,0.959115,0.193183,0.797782,-0.770809,0.935673,0.232075,0.796992,-0.813459,0.915406,0.144438,0.797533,-0.675162,0.905626,0.308781,0.798423,-0.668299,0.193155,0.797953,-0.770735,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
32,0.320000,-124.970078,-0.277838,1.002609,0.219577,0.797671,-0.731949,0.000238,0.308682,0.798344,-0.668235,0.953063,0.193158,0.797803,-0.770853,0.932885,0.232047,0.797030,-0.813506,0.929987,0.144419,0.797508,-0.675203,0.920465,0.308763,0.798363,-0.668404,0.193144,0.798051,-0.770751,0.232260,0.796853,-0.813550,0.144138,0.797409,-0.675091
33,0.330000,-124.955734,-0.261443,1.027495,0.219593,0.797649,-0.731917,0.000285,0.308715,0.798353,-0.668226,0.953063,0.193165,0.797761,-0.770814,0.932885,0.232043,0.796965,-0.813477,0.929987,0.144450,0.797516,-0.675152,0.920465,0.308763,0.798363,-0.668404,0.193155,0.797894,-0.770689,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
34,0.340000,-125.105736,0.038867,1.003640,0.219209,0.797870,-0.731987,0.001059,0.308159,0.799148,-0.668065,0.585141,0.192882,0.797759,-0.770953,0.879132,0.231875,0.797026,-0.813512,0.884662,0.143918,0.797548,-0.675418,0.875400,0.306748,0.799158,-0.668939,0.193213,0.797996,-0.770692,0.232302,0.796870,-0.813589,0.144151,0.797464,-0.674985
35,0.350000,-124.968445,-0.258719,1.017883,0.219581,0.797638,-0.731968,0.000252,0.308689,0.798347,-0.668257,0.585141,0.193162,0.797751,-0.770871,0.879132,0.232049,0.796965,-0.813525,0.884662,0.144426,0.797489,-0.675220,0.875400,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232267,0.796821,-0.813642,0.144138,0.797409,-0.675091
36,0.360000,-124.953682,-0.266198,1.030223,0.219597,0.797655,-0.731897,0.000278,0.308722,0.798351,-0.668209,0.950076,0.193168,0.797770,-0.770793,0.943490,0.232044,0.796971,-0.813457,0.934302,0.144456,0.797529,-0.675129,0.914151,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
37,0.370000,-124.951645,-0.265409,1.038944,0.219585,0.797652,-0.731943,0.000278,0.308712,0.798349,-0.668258,0.950076,0.193154,0.797764,-0.770838,0.943490,0.232029,0.796956,-0.813503,0.934302,0.144446,0.797539,-0.675172,0.914151,0.308763,0.798363,-0.668404,0.193155,0.797953,-0.770735,0.232267,0.796821,-0.813642,0.144151,0.797464,-0.674985
38,0.380000,-124.953682,-0.266198,1.030223,0.219597,0.797655,-0.731897,0.000278,0.308722,0.798351,-0.668209,0.950076,0.193168,0.797770,-0.770793,0.943490,0.232044,0.796971,-0.813457,0.934302,0.144456,0.797529,-0.675129,0.914151,0.308763,0.798363,-0.668404,0.193214,0.797937,-0.770647,0.232260,0.796853,-0.813550,0.144151,0.797464,-0.674985
