Format Version,1.23,Take Name,robotatfactory_08-09-2020_CENTRE,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-09-08 11.01.57.638 ,Total Frames in Take,3133,Total Exported Frames,3133,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RobotAtFactory_Centre,RobotAtFactory_Centre,RobotAtFactory_Centre,RobotAtFactory_Centre,RobotAtFactory_Centre,RobotAtFactory_Centre,RobotAtFactory_Centre,"RobotAtFactory_Centre:Marker1","RobotAtFactory_Centre:Marker1","RobotAtFactory_Centre:Marker1","RobotAtFactory_Centre:Marker1","RobotAtFactory_Centre:Marker2","RobotAtFactory_Centre:Marker2","RobotAtFactory_Centre:Marker2","RobotAtFactory_Centre:Marker2","RobotAtFactory_Centre:Marker3","RobotAtFactory_Centre:Marker3","RobotAtFactory_Centre:Marker3","RobotAtFactory_Centre:Marker3","RobotAtFactory_Centre:Marker4","RobotAtFactory_Centre:Marker4","RobotAtFactory_Centre:Marker4","RobotAtFactory_Centre:Marker4","RobotAtFactory_Centre:Marker5","RobotAtFactory_Centre:Marker5","RobotAtFactory_Centre:Marker5","RobotAtFactory_Centre:Marker5","RobotAtFactory_Centre:Marker6","RobotAtFactory_Centre:Marker6","RobotAtFactory_Centre:Marker6","RobotAtFactory_Centre:Marker6","RobotAtFactory_Centre:Marker7","RobotAtFactory_Centre:Marker7","RobotAtFactory_Centre:Marker7","RobotAtFactory_Centre:Marker7","RobotAtFactory_Centre:Marker8","RobotAtFactory_Centre:Marker8","RobotAtFactory_Centre:Marker8","RobotAtFactory_Centre:Marker8",RobotAtFactory_Centre:Marker1,RobotAtFactory_Centre:Marker1,RobotAtFactory_Centre:Marker1,RobotAtFactory_Centre:Marker2,RobotAtFactory_Centre:Marker2,RobotAtFactory_Centre:Marker2,RobotAtFactory_Centre:Marker3,RobotAtFactory_Centre:Marker3,RobotAtFactory_Centre:Marker3,RobotAtFactory_Centre:Marker4,RobotAtFactory_Centre:Marker4,RobotAtFactory_Centre:Marker4,RobotAtFactory_Centre:Marker5,RobotAtFactory_Centre:Marker5,RobotAtFactory_Centre:Marker5,RobotAtFactory_Centre:Marker6,RobotAtFactory_Centre:Marker6,RobotAtFactory_Centre:Marker6,RobotAtFactory_Centre:Marker7,RobotAtFactory_Centre:Marker7,RobotAtFactory_Centre:Marker7,RobotAtFactory_Centre:Marker8,RobotAtFactory_Centre:Marker8,RobotAtFactory_Centre:Marker8
,ID,"4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","4E4745DF1BA11EA2C2F332BD074D280","C4A00","C4A00","C4A00","C49D0","C49D0","C49D0","C4990","C4990","C4990","C49E0","C49E0","C49E0","C49B0","C49B0","C49B0","C49C0","C49C0","C49C0","C49A0","C49A0","C49A0","C49F0","C49F0","C49F0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.019585,-0.124820,-0.035464,-0.158745,0.082226,0.354759,0.000342,-0.324120,0.039850,0.282659,0.883376,-0.194541,0.126602,0.470186,0.946709,-0.011308,0.039746,0.378879,0.912803,-0.231338,0.124897,0.373128,0.966050,-0.083353,0.039965,0.188428,0.684065,-0.116222,0.122456,0.254925,0.940744,-0.056558,0.125578,0.418203,0.969986,-0.252522,0.038710,0.471660,0.958655,-0.324407,0.040154,0.282866,-0.194678,0.126535,0.470335,-0.011202,0.040039,0.378723,-0.231430,0.124894,0.373228,-0.082669,0.039117,0.187788,-0.116220,0.122654,0.255055,-0.056573,0.125634,0.418308,-0.252644,0.038601,0.471637
1,0.010000,-0.054851,-0.109431,-0.010081,-0.158645,0.082200,0.354837,0.000393,-0.323957,0.039770,0.282624,0.883376,-0.194531,0.126529,0.470254,0.946709,-0.011204,0.039779,0.379037,0.912803,-0.231267,0.124834,0.373174,0.966050,-0.083131,0.040018,0.188541,0.684065,-0.116078,0.122476,0.255040,0.940744,-0.056516,0.125580,0.418356,0.969986,-0.252474,0.038611,0.471669,0.958655,-0.324110,0.039825,0.282805,-0.194570,0.126411,0.470283,-0.011202,0.040039,0.378723,-0.231265,0.124753,0.373272,-0.082600,0.039020,0.187924,-0.115922,0.123170,0.255615,-0.056589,0.125547,0.418320,-0.252780,0.038696,0.471692
2,0.020000,-0.039718,-0.108370,-0.009107,-0.158658,0.082211,0.354837,0.000393,-0.323989,0.039779,0.282667,0.939198,-0.194515,0.126538,0.470264,0.968058,-0.011210,0.039792,0.378997,0.898091,-0.231277,0.124843,0.373193,0.968151,-0.083188,0.040033,0.188520,0.678023,-0.116118,0.122489,0.255029,0.771371,-0.056513,0.125591,0.418330,0.978030,-0.252456,0.038619,0.471693,0.920523,-0.324214,0.039863,0.282934,-0.194678,0.126535,0.470335,-0.011256,0.040015,0.378708,-0.231276,0.124756,0.373310,-0.082600,0.039020,0.187924,-0.115887,0.123190,0.255511,-0.056573,0.125556,0.418269,-0.252644,0.038601,0.471637
3,0.030000,0.034924,-0.299133,-0.120762,-0.158907,0.081996,0.354890,0.000408,-0.324414,0.039647,0.283076,0.910219,-0.194527,0.126777,0.470216,0.955575,-0.011511,0.039370,0.379001,0.907888,-0.231419,0.124831,0.373199,0.963549,-0.083736,0.039118,0.188618,0.671429,-0.116419,0.121859,0.254894,0.779802,-0.056596,0.125389,0.418106,0.976944,-0.252638,0.038976,0.472012,0.950868,-0.324430,0.040158,0.282945,-0.194695,0.126506,0.470292,-0.011202,0.040039,0.378723,-0.231276,0.124813,0.373326,-0.084517,0.036782,0.188479,-0.115927,0.123173,0.255618,-0.056687,0.125649,0.418248,-0.252611,0.038603,0.471576
4,0.040000,-0.051350,-0.125914,-0.014762,-0.158747,0.082226,0.354828,0.000408,-0.324067,0.039789,0.282638,0.868041,-0.194622,0.126592,0.470235,0.918141,-0.011307,0.039800,0.379031,0.803132,-0.231365,0.124872,0.373157,0.951991,-0.083247,0.039990,0.188540,0.383299,-0.116182,0.122470,0.255017,0.605360,-0.056610,0.125617,0.418328,0.922517,-0.252573,0.038680,0.471678,0.856323,-0.324283,0.039972,0.282781,-0.194749,0.126500,0.470320,-0.011351,0.040055,0.378730,-0.231397,0.124859,0.373190,-0.082775,0.038744,0.187870,-0.115954,0.123136,0.255680,-0.056684,0.125742,0.418355,-0.252644,0.038601,0.471637
5,0.050000,0.023546,-0.117526,-0.046914,-0.158906,0.082266,0.354841,0.000142,-0.324344,0.039932,0.282861,0.920558,-0.194606,0.126635,0.470301,0.955352,-0.011459,0.039754,0.378846,0.900835,-0.231477,0.124949,0.373271,0.987902,-0.083648,0.040012,0.188449,0.627053,-0.116450,0.122501,0.254980,0.758344,-0.056663,0.125589,0.418215,0.963170,-0.252604,0.038754,0.471808,0.971514,-0.324430,0.040158,0.282945,-0.194766,0.126471,0.470276,-0.011202,0.040039,0.378723,-0.231334,0.124780,0.373306,-0.083853,0.039658,0.188466,-0.116220,0.122654,0.255055,-0.056667,0.125675,0.418265,-0.252780,0.038696,0.471692
