Format Version,1.23,Take Name,newmethod_08-09-2020_3_(1),Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-09-08 05.58.15.322 ,Total Frames in Take,10091,Total Exported Frames,10091,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,"RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker4","RobotAtFactory_Omni4:Marker4","RobotAtFactory_Omni4:Marker4","RobotAtFactory_Omni4:Marker4",RobotAtFactory_Omni4:Marker1,RobotAtFactory_Omni4:Marker1,RobotAtFactory_Omni4:Marker1,RobotAtFactory_Omni4:Marker2,RobotAtFactory_Omni4:Marker2,RobotAtFactory_Omni4:Marker2,RobotAtFactory_Omni4:Marker3,RobotAtFactory_Omni4:Marker3,RobotAtFactory_Omni4:Marker3,RobotAtFactory_Omni4:Marker4,RobotAtFactory_Omni4:Marker4,RobotAtFactory_Omni4:Marker4
,ID,"F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","C4FA0","C4FA0","C4FA0","C4F20","C4F20","C4F20","C4FB0","C4FB0","C4FB0","C4C80","C4C80","C4C80"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-19.965328,-0.032196,0.912907,-0.774282,0.120293,0.343127,0.001054,-0.847500,0.121019,0.413236,0.779377,-0.849057,0.118738,0.309483,0.720175,-0.700080,0.122432,0.411403,0.657614,-0.700490,0.118984,0.238385,0.703403,-0.846789,0.121500,0.413438,-0.848238,0.118266,0.308882,-0.700844,0.122101,0.412491,-0.701422,0.119309,0.237727
1,0.010000,-19.919172,-0.036256,0.806647,-0.774237,0.120180,0.343040,0.000969,-0.847398,0.120996,0.413209,0.794154,-0.849042,0.118776,0.309456,0.722202,-0.699977,0.122149,0.411259,0.683839,-0.700532,0.118801,0.238238,0.730784,-0.846789,0.121500,0.413438,-0.848238,0.118266,0.308882,-0.700695,0.121807,0.412242,-0.701348,0.119137,0.237621
2,0.020000,-19.971985,-0.015275,0.912238,-0.774299,0.120306,0.343149,0.001073,-0.847525,0.121006,0.413250,0.794154,-0.849070,0.118753,0.309496,0.722202,-0.700105,0.122433,0.411435,0.683839,-0.700495,0.119034,0.238415,0.730784,-0.846789,0.121500,0.413438,-0.848238,0.118266,0.308882,-0.700844,0.122101,0.412491,-0.701485,0.119370,0.237799
3,0.030000,-20.113127,0.393541,0.891266,-0.774540,0.120605,0.343583,0.001372,-0.847940,0.120672,0.413507,0.644931,-0.849225,0.119125,0.309736,0.609433,-0.700520,0.122420,0.412065,0.844259,-0.700477,0.120202,0.239026,0.475380,-0.846789,0.121500,0.413438,-0.848238,0.118266,0.308882,-0.700844,0.122101,0.412491,-0.702448,0.120786,0.239446
4,0.040000,-19.966908,-0.034754,0.950950,-0.774231,0.120197,0.343217,0.001098,-0.847452,0.120897,0.413324,0.644931,-0.849004,0.118587,0.309571,0.609433,-0.700033,0.122399,0.411495,0.844259,-0.700435,0.118905,0.238477,0.475380,-0.846693,0.121363,0.413603,-0.848149,0.118130,0.308887,-0.700844,0.122101,0.412491,-0.701347,0.119193,0.237907
5,0.050000,-19.939995,-0.063512,0.914004,-0.774263,0.120270,0.343072,0.001036,-0.847450,0.121045,0.413213,0.791464,-0.849054,0.118710,0.309462,0.726405,-0.700031,0.122432,0.411315,0.633149,-0.700518,0.118895,0.238298,0.704259,-0.846789,0.121500,0.413438,-0.848238,0.118266,0.308882,-0.700844,0.122101,0.412491,-0.701374,0.119203,0.237542
