Format Version,1.23,Take Name,23122020-robot-omni4-center,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 04.03.55.952 ,Total Frames in Take,2839,Total Exported Frames,2839,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni4-center,robot-omni4-center,robot-omni4-center,robot-omni4-center,robot-omni4-center,robot-omni4-center,robot-omni4-center,"robot-omni4-center:Marker1","robot-omni4-center:Marker1","robot-omni4-center:Marker1","robot-omni4-center:Marker1","robot-omni4-center:Marker2","robot-omni4-center:Marker2","robot-omni4-center:Marker2","robot-omni4-center:Marker2","robot-omni4-center:Marker3","robot-omni4-center:Marker3","robot-omni4-center:Marker3","robot-omni4-center:Marker3","robot-omni4-center:Marker4","robot-omni4-center:Marker4","robot-omni4-center:Marker4","robot-omni4-center:Marker4","robot-omni4-center:Marker5","robot-omni4-center:Marker5","robot-omni4-center:Marker5","robot-omni4-center:Marker5","robot-omni4-center:Marker6","robot-omni4-center:Marker6","robot-omni4-center:Marker6","robot-omni4-center:Marker6","robot-omni4-center:Marker7","robot-omni4-center:Marker7","robot-omni4-center:Marker7","robot-omni4-center:Marker7","robot-omni4-center:Marker8","robot-omni4-center:Marker8","robot-omni4-center:Marker8","robot-omni4-center:Marker8",robot-omni4-center:Marker1,robot-omni4-center:Marker1,robot-omni4-center:Marker1,robot-omni4-center:Marker2,robot-omni4-center:Marker2,robot-omni4-center:Marker2,robot-omni4-center:Marker3,robot-omni4-center:Marker3,robot-omni4-center:Marker3,robot-omni4-center:Marker4,robot-omni4-center:Marker4,robot-omni4-center:Marker4,robot-omni4-center:Marker5,robot-omni4-center:Marker5,robot-omni4-center:Marker5,robot-omni4-center:Marker6,robot-omni4-center:Marker6,robot-omni4-center:Marker6,robot-omni4-center:Marker7,robot-omni4-center:Marker7,robot-omni4-center:Marker7,robot-omni4-center:Marker8,robot-omni4-center:Marker8,robot-omni4-center:Marker8
,ID,"CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","CE57841F44D311EB9535D8E10FC4DB80","C3730","C3730","C3730","C3740","C3740","C3740","C3800","C3800","C3800","C3810","C3810","C3810","C3830","C3830","C3830","C3A00","C3A00","C3A00","C3A20","C3A20","C3A20","C3A90","C3A90","C3A90"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.003131,0.000675,-0.008829,1.177021,0.056286,0.335383,0.000041,1.177567,0.099100,0.413197,0.993674,1.278154,0.096879,0.262251,0.990789,1.272409,0.098587,0.417995,0.978847,1.046435,0.102420,0.252117,0.998544,1.054061,0.013919,0.458125,0.998802,1.064390,0.015034,0.202308,0.996846,1.266993,0.012072,0.210483,0.962645,1.256159,0.012273,0.466588,0.991075,1.177554,0.099119,0.413207,1.278150,0.096912,0.262266,1.272416,0.098565,0.418076,1.046430,0.102418,0.252119,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267001,0.012011,0.210348,1.256156,0.012305,0.466604
1,0.010000,-0.011763,-0.002193,0.009485,1.177100,0.056200,0.335398,0.000095,1.177612,0.099019,0.413211,0.993674,1.278240,0.096822,0.262291,0.990789,1.272453,0.098537,0.418033,0.978847,1.046521,0.102289,0.252096,0.998544,1.054122,0.013801,0.458110,0.998802,1.064517,0.014906,0.202296,0.996846,1.267119,0.012010,0.210524,0.962645,1.256218,0.012220,0.466626,0.991075,1.177581,0.099070,0.413256,1.278196,0.096759,0.262146,1.272416,0.098565,0.418076,1.046515,0.102348,0.252093,1.054307,0.013632,0.458005,1.064402,0.015033,0.202313,1.267233,0.011884,0.210695,1.256156,0.012305,0.466604
2,0.020000,0.002925,-0.002138,-0.021843,1.177024,0.056261,0.335378,0.000036,1.177580,0.099079,0.413190,0.981292,1.278167,0.096828,0.262244,0.959042,1.272422,0.098545,0.417989,0.984143,1.046449,0.102421,0.252109,0.985033,1.054055,0.013929,0.458121,0.932154,1.064385,0.015028,0.202305,0.956757,1.266987,0.012021,0.210481,0.939788,1.256152,0.012237,0.466586,0.972954,1.177554,0.099119,0.413207,1.278196,0.096759,0.262146,1.272393,0.098428,0.418007,1.046430,0.102418,0.252119,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267005,0.012103,0.210499,1.256156,0.012305,0.466604
3,0.030000,0.005118,0.029984,-0.016413,1.177018,0.056263,0.335355,0.000116,1.177572,0.099038,0.413191,0.987319,1.278154,0.096880,0.262240,0.969189,1.272415,0.098510,0.417985,0.969546,1.046435,0.102458,0.252117,0.994550,1.054057,0.013851,0.458079,0.996976,1.064377,0.015094,0.202263,0.995129,1.266980,0.012102,0.210429,0.978545,1.256155,0.012173,0.466535,0.982334,1.177528,0.099147,0.413353,1.278196,0.096759,0.262146,1.272393,0.098428,0.418007,1.046430,0.102418,0.252119,1.054220,0.013757,0.458010,1.064213,0.015190,0.202098,1.267005,0.012103,0.210499,1.256156,0.012305,0.466604
4,0.040000,-0.011634,-0.021175,-0.033881,1.177004,0.056294,0.335398,0.000137,1.177548,0.099138,0.413196,0.967016,1.278174,0.096815,0.262277,0.964076,1.272389,0.098586,0.418019,0.959876,1.046459,0.102454,0.252080,0.984807,1.053994,0.014029,0.458124,0.967142,1.064389,0.015041,0.202310,0.921628,1.266989,0.011994,0.210538,0.936186,1.256088,0.012297,0.466640,0.980567,1.177500,0.099200,0.413302,1.278196,0.096759,0.262146,1.272340,0.098685,0.418135,1.046430,0.102418,0.252119,1.053994,0.013952,0.458231,1.064213,0.015190,0.202098,1.267197,0.011846,0.210542,1.256156,0.012305,0.466604
5,0.050000,-0.012706,-0.026728,-0.019559,1.177053,0.056240,0.335389,0.000062,1.177585,0.099091,0.413183,0.963704,1.278214,0.096779,0.262266,0.969271,1.272426,0.098563,0.418008,0.983568,1.046498,0.102359,0.252065,0.973727,1.054051,0.013955,0.458117,0.990610,1.064451,0.014945,0.202303,0.974669,1.267051,0.011950,0.210536,0.937310,1.256146,0.012275,0.466638,0.988343,1.177555,0.098975,0.413102,1.278196,0.096759,0.262146,1.272396,0.098622,0.418010,1.046430,0.102418,0.252119,1.054059,0.013920,0.458129,1.064402,0.015033,0.202313,1.267233,0.011884,0.210695,1.256156,0.012305,0.466604
