Method:,Lin et al. (2019) // New method (2020)
d00(m):,0.06,d01(m):,0.06,d02(m):,0.06,d03(m):,0.06,l10(m):,0.2,l20(m):,0.2
N:,1,R(m):,0.35,Rrate(%):,100,#180curves:,2
VLIN_NOM_0(ticks/cyc):,0.075,VLIN_DA_0(ticks/cyc):,0.05,VANG_NOM_0(rad/cyc):,0.5,VANG_DA_0(rad/cyc):,0.3,DVMAX(ticks/cyc^2):,0.0004,DWMAX(ticks/cyc^2):,0.0025

time(s):,odo0(thicks/cyc):,odo1(thicks/cyc):,odo2(thicks/cyc):,odo3(thicks/cyc):,xodo(m):,yodo(m):,thodo(rad):,v(?):,vn(?):,omega(?):
Run:,1
0.01,     0,     0,     0,     0,     0,     0,     0,     0,     0,     0,0
0.02,     0,     0,     0,     0,     0,     0,     0,0.0004,     0,     0,0
0.03,     0,     0,     0,     0,     0,     0,     0,0.0008,     0,     0,0
0.04,     0,     0,     0,     0,     0,     0,     0,0.0012,     0,     0,0
0.05,     0,     0,     0,     0,     0,     0,     0,0.0016,     0,     0,0
0.06,     0,     0,     0,     0,     0,     0,     0, 0.002,     0,     0,0
0.07,     0,     0,     0,     0,     0,     0,     0,0.0024,     0,     0,0
0.08,     0,     0,     0,     0,     0,     0,     0,0.0028,     0,     0,0
0.09,     0,     0,     0,     0,     0,     0,     0,0.0032,     0,     0,0
0.1,     0,     0,     0,     0,     0,     0,     0,0.0036,     0,     0,0
0.11,     0,     0,     0,     0,     0,     0,     0, 0.004,     0,     0,0
0.12,     0,     0,     0,     0,     0,     0,     0,0.0044,     0,     0,0
0.13,     0,     0,     0,     0,     0,     0,     0,0.0048,     0,     0,0
0.14,     0,     0,     0,     0,     0,     0,     0,0.0052,     0,     0,0
0.15,     0,     0,     0,     0,     0,     0,     0,0.0056,     0,     0,0
0.16,     0,     0,     0,     0,     0,     0,     0, 0.006,     0,     0,0
0.17,     0,     0,     0,     0,     0,     0,     0,0.0064,     0,     0,0
0.18,     0,     0,     0,     0,     0,     0,     0,0.0068,     0,     0,0
0.19,     0,     0,     0,     0,     0,     0,     0,0.0072,     0,     0,0
0.2,     0,     0,     0,     0,     0,     0,     0,0.0076,     0,     0,0
0.21,     0,     0,     0,     0,     0,     0,     0, 0.008,     0,     0,0
0.22,     0,     0,     0,     0,     0,     0,     0,0.0084,     0,     0,0
0.23,     0,     0,     0,     0,     0,     0,     0,0.0088,     0,     0,0
0.24,     0,     0,-0.0000868055559948,     0,4.091E-6,4.091E-6,-0.00002045,0.0092,     0,     0,0
0.25,     0,     0,-0.0000868055559948,     0,8.181E-6,8.181E-6,-0.00004091,0.0096,-3.068E-6,8.181E-6,0
0.26,     0,     0,-0.0000868055559948,     0,0.00001227,0.00001227,-0.00006136,  0.01,-6.136E-6,0.00001636,0
0.27,     0,     0,-0.0000868055559948,     0,0.00001636,0.00001636,-0.00008181,0.0104,-9.204E-6,0.00002454,0
0.28,     0,     0,-0.00017361111199,     0,0.00002454,0.00002454,-0.0001227,0.0108,-0.00001227,0.00003272,0
0.29,     0,     0,-0.00017361111199,     0,0.00003273,0.00003272,-0.0001636,0.0112,-0.00001841,0.00004909,0
0.3,     0,     0,-0.00017361111199,     0,0.00004091,0.0000409,-0.0002045,0.0116,-0.00002454,0.00006545,0
0.31,-0.0000868055559948,     0,     0,     0,0.000045,0.00003681,-0.000225, 0.012,-0.00003068,0.00008181,0
0.32,-0.0000868055559948,     0,     0,     0,0.00004909,0.00003272,-0.0002454,0.0124,-0.00002761,0.00008999,0
0.33,-0.0000868055559948,     0,     0,     0,0.00005318,0.00002863,-0.0002659,0.0128,-0.00002454,0.00009817,0
0.34,-0.000694444447958,0.0000868055559948,     0,0.0000868055559948,0.00009408,-4.108E-6,-0.0003886,0.0132,-0.00002147,0.0001064,0
0.35,-0.000694444447958,0.0000868055559948,     0,0.0000868055559948,0.000135,-0.00003685,-0.0005113,0.0136,3.081E-6,0.0001554,0
0.36,-0.000694444447958,0.0000868055559948,     0,0.0000868055559948,0.0001759,-0.00006959,-0.000634, 0.014,0.00002764,0.0002045,0
0.37,-0.000434027785903,0.000260416662055,-0.00017361111199,0.0000868055559948,0.0002209,-0.00007371,-0.0006954,0.0144,0.0000522,0.0002536,0
0.38,-0.000434027785903,0.000260416662055,-0.00017361111199,0.0000868055559948,0.0002658,-0.00007784,-0.0007568,0.0148,0.00005529,0.0002782,0
0.39,-0.000434027785903,0.000260416662055,-0.00017361111199,0.0000868055559948,0.0003108,-0.00008196,-0.0008181,0.0152,0.00005838,0.0003027,0
0.4,-0.000434027785903,0.000694444447958,-0.00017361111199,0.0000868055559948,0.0003763,-0.00006565,-0.0007772,0.0156,0.00006147,0.0003272,0
0.41,-0.000434027785903,0.000694444447958,-0.00017361111199,0.0000868055559948,0.0004418,-0.00004933,-0.0007363, 0.016,0.00004924,0.0003109,0
0.42,-0.000434027785903,0.000694444447958,-0.00017361111199,0.0000868055559948,0.0005072,-0.00003302,-0.0006954,0.0164,0.000037,0.0002945,0
0.43,     0,0.000607638862319,-0.00017361111199,0.0000868055559948,0.0005482,-3.158E-7,-0.0005727,0.0168,0.00002476,0.0002782,0
0.44,     0,0.000607638862319,-0.000868055571806,0.000347222223979,0.0006341,0.00005281,-0.0005522,0.0172,2.369E-7,0.0002291,0
0.45,     0,0.000607638862319,-0.000868055571806,0.000347222223979,0.00072,0.0001059,-0.0005318,0.0176,-0.00003961,0.0002209,0
0.46,     0,0.000607638862319,-0.000868055571806,0.000347222223979,0.0008059,0.0001591,-0.0005113, 0.018,-0.00007946,0.0002127,0
0.47,-0.000520833324111,0.000607638862319,-0.000781249986166,0.000781249986166,0.0009328,0.0001631,-0.0004909,0.0184,-0.0001193,0.0002045,0
0.48,-0.000520833324111,0.000607638862319,-0.000781249986166,0.000781249986166,0.00106,0.0001671,-0.0004704,0.0188,-0.0001223,0.0001963,0
0.49,-0.000520833324111,0.000607638862319,-0.000781249986166,0.000781249986166,0.001186,0.0001712,-0.00045,0.0192,-0.0001254,0.0001882,0
0.5,-0.00138888889592,0.000954861110014,-0.000607638862319,0.00104166664822,0.001375,0.0001302,-0.00045,0.0196,-0.0001284,0.00018,0
0.51,-0.00138888889592,0.000954861110014,-0.000607638862319,0.00104166664822,0.001563,0.00008919,-0.00045,  0.02,-0.00009764,0.00018,0
0.52,-0.00138888889592,0.000954861110014,-0.000607638862319,0.00104166664822,0.001751,0.0000482,-0.00045,0.0204,-0.00006689,0.00018,0
0.53,-0.00138888889592,0.000954861110014,-0.000607638862319,0.00104166664822,0.001939,7.211E-6,-0.00045,0.0208,-0.00003615,0.00018,0
0.54,-0.00104166664822,0.00112847218643,-0.00112847218643,0.000868055571806,0.002135,0.00002348,-0.0004909,0.0212,-5.408E-6,0.00018,0
0.55,-0.00104166664822,0.00112847218643,-0.00112847218643,0.000868055571806,0.002332,0.00003975,-0.0005318,0.0216,-0.00001761,0.0001963,0
0.56,-0.00104166664822,0.00112847218643,-0.00112847218643,0.000868055571806,0.002528,0.00005601,-0.0005727, 0.022,-0.00002981,0.0002127,0
0.57,-0.000954861110014,0.000868055571806,-0.00121527772464,0.00104166664822,0.00272,0.00005999,-0.000634,0.0224,-0.00004201,0.0002291,0
0.58,-0.000954861110014,0.000868055571806,-0.00121527772464,0.00104166664822,0.002913,0.00006396,-0.0006954,0.0228,-0.00004499,0.0002536,0
0.59,-0.000954861110014,0.000868055571806,-0.00121527772464,0.00104166664822,0.003105,0.00006792,-0.0007568,0.0232,-0.00004797,0.0002782,0
0.6,-0.00130208335771,0.00112847218643,-0.00112847218643,0.00104166664822,0.003322,0.00006366,-0.0008181,0.0236,-0.00005094,0.0003027,0
0.61,-0.00130208335771,0.00112847218643,-0.00112847218643,0.00121527772464,0.003547,0.0000512,-0.0008386, 0.024,-0.00004775,0.0003272,0
0.62,-0.00130208335771,0.00112847218643,-0.00112847218643,0.00121527772464,0.003772,0.00003874,-0.000859,0.0244,-0.0000384,0.0003354,0
0.63,-0.00130208335771,0.00112847218643,-0.00112847218643,0.00121527772464,0.003997,0.00002628,-0.0008795,0.0248,-0.00002906,0.0003436,0
0.64,-0.00138888889592,0.00130208335771,-0.00121527772464,0.00130208335771,0.004242,0.00001788,-0.0008795,0.0252,-0.00001971,0.0003518,0
0.65,-0.00138888889592,0.00130208335771,-0.00121527772464,0.00130208335771,0.004487,9.485E-6,-0.0008795,0.0256,-0.00001341,0.0003518,0
0.66,-0.00138888889592,0.00130208335771,-0.00121527772464,0.00130208335771,0.004733,1.088E-6,-0.0008795, 0.026,-7.113E-6,0.0003518,0
0.67,-0.00130208335771,0.00130208335771,-0.00130208335771,0.00147569443412,0.004986,-7.306E-6,-0.0008386,0.0264,-8.157E-7,0.0003518,0
0.68,-0.00130208335771,0.00130208335771,-0.00130208335771,0.00147569443412,0.00524,-0.00001569,-0.0007977,0.0268,5.48E-6,0.0003354,0
0.69,-0.00130208335771,0.00130208335771,-0.00130208335771,0.00147569443412,0.005494,-0.00002406,-0.0007568,0.0272,0.00001177,0.0003191,0
0.7,-0.00138888889592,0.00138888889592,-0.00130208335771,0.00138888889592,0.005751,-0.00002834,-0.0007363,0.0276,0.00001805,0.0003027,0
0.71,-0.00138888889592,0.00138888889592,-0.00130208335771,0.00138888889592,0.006009,-0.00003262,-0.0007159, 0.028,0.00002126,0.0002945,0
0.72,-0.00138888889592,0.00138888889592,-0.00130208335771,0.00138888889592,0.006267,-0.00003689,-0.0006954,0.0284,0.00002446,0.0002863,0
0.73,-0.00156249997233,0.00147569443412,-0.00130208335771,0.00138888889592,0.006537,-0.00004526,-0.0006954,0.0288,0.00002767,0.0002782,0
0.74,-0.00156249997233,0.00147569443412,-0.00156249997233,0.00138888889592,0.006819,-0.00004136,-0.0007568,0.0292,0.00003394,0.0002782,0
0.75,-0.00156249997233,0.00147569443412,-0.00156249997233,0.00138888889592,0.007101,-0.00003749,-0.0008181,0.0296,0.00003102,0.0003027,0
0.76,-0.00156249997233,0.00147569443412,-0.00156249997233,0.00138888889592,0.007384,-0.00003363,-0.0008795,  0.03,0.00002811,0.0003272,0
0.77,-0.00156249997233,0.00156249997233,-0.00156249997233,0.00164930551054,0.007682,-0.00003797,-0.000859,0.0304,0.00002522,0.0003518,0
0.78,-0.00156249997233,0.00156249997233,-0.00156249997233,0.00164930551054,0.007981,-0.00004231,-0.0008386,0.0308,0.00002848,0.0003436,0
0.79,-0.00156249997233,0.00156249997233,-0.00156249997233,0.00164930551054,0.008279,-0.00004665,-0.0008181,0.0312,0.00003174,0.0003354,0
0.8,-0.00156249997233,0.00164930551054,-0.00156249997233,0.00164930551054,0.008582,-0.00004688,-0.0007772,0.0316,0.00003499,0.0003272,0
0.810000000000001,-0.00156249997233,0.00164930551054,-0.00156249997233,0.00164930551054,0.008885,-0.00004711,-0.0007363, 0.032,0.00003516,0.0003109,0
0.820000000000001,-0.00156249997233,0.00164930551054,-0.00156249997233,0.00164930551054,0.009187,-0.00004732,-0.0006954,0.0324,0.00003533,0.0002945,0
0.830000000000001,-0.00156249997233,0.00164930551054,-0.00156249997233,0.00164930551054,0.00949,-0.00004752,-0.0006545,0.0328,0.00003549,0.0002782,0
0.840000000000001,-0.00156249997233,0.00164930551054,-0.00164930551054,0.00173611114361,0.009801,-0.00004771,-0.0006136,0.0332,0.00003564,0.0002618,0
0.850000000000001,-0.00156249997233,0.00164930551054,-0.00164930551054,0.00173611114361,0.01011,-0.00004788,-0.0005727,0.0336,0.00003578,0.0002454,0
0.860000000000001,-0.00156249997233,0.00164930551054,-0.00164930551054,0.00173611114361,0.01042,-0.00004805,-0.0005318, 0.034,0.00003591,0.0002291,0
0.870000000000001,-0.00173611114361,0.00173611114361,-0.00173611114361,0.00173611114361,0.01075,-0.00004822,-0.0005318,0.0344,0.00003604,0.0002127,0
0.880000000000001,-0.00173611114361,0.00173611114361,-0.00173611114361,0.00173611114361,0.01108,-0.0000484,-0.0005318,0.0348,0.00003617,0.0002127,0
0.890000000000001,-0.00173611114361,0.00173611114361,-0.00173611114361,0.00173611114361,0.0114,-0.00004857,-0.0005318,0.0352,0.0000363,0.0002127,0
0.900000000000001,-0.00182291658696,0.00182291658696,-0.00173611114361,0.00173611114361,0.01174,-0.00004875,-0.0005318,0.0356,0.00003643,0.0002127,0
0.910000000000001,-0.00182291658696,0.00182291658696,-0.00182291658696,0.00190972222003,0.01209,-0.00005302,-0.0005113, 0.036,0.00003656,0.0002127,0
0.920000000000001,-0.00182291658696,0.00182291658696,-0.00182291658696,0.00190972222003,0.01244,-0.00005728,-0.0004909,0.0364,0.00003976,0.0002045,0
0.930000000000001,-0.00182291658696,0.00182291658696,-0.00182291658696,0.00190972222003,0.01278,-0.00006153,-0.0004704,0.0368,0.00004296,0.0001963,0
0.940000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.01314,-0.00006169,-0.0004295,0.0372,0.00004615,0.0001882,0
0.950000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.0135,-0.00006183,-0.0003886,0.0376,0.00004627,0.0001718,0
0.960000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.01386,-0.00006195,-0.0003477, 0.038,0.00004637,0.0001554,0
0.970000000000001,-0.00190972222003,0.0019965278531,-0.00182291658696,0.00190972222003,0.01422,-0.00006206,-0.0003068,0.0384,0.00004647,0.0001391,0
0.980000000000001,-0.0019965278531,0.00190972222003,-0.00182291658696,0.0019965278531,0.01459,-0.00007444,-0.0002863,0.0388,0.00004655,0.0001227,0
0.990000000000001,-0.0019965278531,0.00190972222003,-0.00182291658696,0.0019965278531,0.01495,-0.00008681,-0.0002659,0.0392,0.00005583,0.0001145,0
1,-0.0019965278531,0.00190972222003,-0.00182291658696,0.0019965278531,0.01532,-0.00009917,-0.0002454,0.0396,0.00006511,0.0001064,0
1.01,-0.0019965278531,0.0019965278531,-0.00190972222003,0.00217013892952,0.0157,-0.0001115,-0.0001841,  0.04,0.00007438,0.00009817,0
1.02,-0.0019965278531,0.0019965278531,-0.00190972222003,0.00217013892952,0.01608,-0.0001238,-0.0001227,0.0404,0.00008363,0.00007363,0
1.03,-0.0019965278531,0.0019965278531,-0.00190972222003,0.00217013892952,0.01646,-0.0001361,-0.00006136,0.0408,0.00009287,0.00004909,0
1.04,-0.00182291658696,0.00208333329644,-0.00190972222003,0.00217013892952,0.01683,-0.0001361,0.00006136,0.0412,0.0001021,0.00002454,0
1.05,-0.00182291658696,0.00208333329644,-0.00208333329644,0.00217013892952,0.01722,-0.0001279,0.0001432,0.0416,0.0001021,-0.00002454,0
