Format Version,1.23,Take Name,robotatfactory_08-09-2020_OMNI4,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-09-08 11.02.49.019 ,Total Frames in Take,3233,Total Exported Frames,3233,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,RobotAtFactory_Omni4,"RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker1","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker2","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker3","RobotAtFactory_Omni4:Marker4","RobotAtFactory_Omni4:Marker4","RobotAtFactory_Omni4:Marker4","RobotAtFactory_Omni4:Marker4",RobotAtFactory_Omni4:Marker1,RobotAtFactory_Omni4:Marker1,RobotAtFactory_Omni4:Marker1,RobotAtFactory_Omni4:Marker2,RobotAtFactory_Omni4:Marker2,RobotAtFactory_Omni4:Marker2,RobotAtFactory_Omni4:Marker3,RobotAtFactory_Omni4:Marker3,RobotAtFactory_Omni4:Marker3,RobotAtFactory_Omni4:Marker4,RobotAtFactory_Omni4:Marker4,RobotAtFactory_Omni4:Marker4
,ID,"F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","F43824BFF1B911EA2C2F332BD074D280","C49D0","C49D0","C49D0","C49E0","C49E0","C49E0","C49A0","C49A0","C49A0","C49C0","C49C0","C49C0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.056718,-0.027126,-0.059176,-0.149698,0.125024,0.379408,0.000143,-0.194649,0.126503,0.470260,0.969306,-0.231475,0.124856,0.373237,0.953677,-0.056658,0.125580,0.418339,0.984011,-0.116008,0.123156,0.255798,0.967073,-0.194766,0.126471,0.470276,-0.231363,0.124890,0.373380,-0.056706,0.125598,0.418300,-0.115954,0.123136,0.255680
1,0.010000,-0.051874,-0.059151,-0.060375,-0.149717,0.124982,0.379413,0.000122,-0.194660,0.126512,0.470267,0.969306,-0.231495,0.124812,0.373248,0.953677,-0.056674,0.125558,0.418335,0.984011,-0.116038,0.123044,0.255801,0.967073,-0.194749,0.126500,0.470320,-0.231354,0.124826,0.373327,-0.056741,0.125565,0.418334,-0.116024,0.123035,0.255669
2,0.020000,-0.070849,-0.079040,0.002160,-0.149762,0.125015,0.379367,0.000110,-0.194737,0.126528,0.470207,0.973976,-0.231538,0.124754,0.373176,0.959458,-0.056733,0.125706,0.418320,0.983262,-0.116040,0.123071,0.255767,0.966879,-0.194766,0.126471,0.470276,-0.231572,0.124811,0.373169,-0.056684,0.125742,0.418355,-0.116024,0.123035,0.255669
3,0.030000,-0.041639,-0.018239,-0.033307,-0.149731,0.125040,0.379425,0.000113,-0.194658,0.126484,0.470289,0.976402,-0.231510,0.124836,0.373275,0.983234,-0.056681,0.125632,0.418331,0.982609,-0.116073,0.123207,0.255806,0.973562,-0.194766,0.126471,0.470276,-0.231411,0.124852,0.373400,-0.056703,0.125640,0.418299,-0.116042,0.123198,0.255728
4,0.040000,-0.002172,-0.160419,-0.070503,-0.149792,0.124882,0.379238,0.000322,-0.194656,0.126581,0.470128,0.972637,-0.231576,0.124716,0.373145,0.960151,-0.056716,0.125510,0.418078,0.990211,-0.116221,0.122720,0.255600,0.978962,-0.194695,0.126506,0.470292,-0.231515,0.124795,0.373218,-0.056741,0.125565,0.418334,-0.116220,0.122654,0.255055
5,0.050000,-0.050444,-0.064819,-0.039993,-0.149718,0.125013,0.379398,0.000123,-0.194659,0.126536,0.470253,0.954026,-0.231496,0.124814,0.373235,0.969076,-0.056675,0.125626,0.418317,0.934278,-0.116042,0.123075,0.255785,0.862562,-0.194766,0.126471,0.470276,-0.231398,0.124880,0.373330,-0.056684,0.125665,0.418316,-0.116024,0.123035,0.255669
