Format Version,1.23,Take Name,23122020-omni4-square-2-run_004,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2020-12-23 06.55.45.795 ,Total Frames in Take,12144,Total Exported Frames,12144,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-omni4,robot-omni4,robot-omni4,robot-omni4,robot-omni4,robot-omni4,robot-omni4,"robot-omni4:Marker1","robot-omni4:Marker1","robot-omni4:Marker1","robot-omni4:Marker1","robot-omni4:Marker2","robot-omni4:Marker2","robot-omni4:Marker2","robot-omni4:Marker2","robot-omni4:Marker3","robot-omni4:Marker3","robot-omni4:Marker3","robot-omni4:Marker3","robot-omni4:Marker4","robot-omni4:Marker4","robot-omni4:Marker4","robot-omni4:Marker4",robot-omni4:Marker1,robot-omni4:Marker1,robot-omni4:Marker1,robot-omni4:Marker2,robot-omni4:Marker2,robot-omni4:Marker2,robot-omni4:Marker3,robot-omni4:Marker3,robot-omni4:Marker3,robot-omni4:Marker4,robot-omni4:Marker4,robot-omni4:Marker4
,ID,"9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","9E23692544D311EB9535D8E10FC4DB80","CAC90","CAC90","CAC90","CAA60","CAA60","CAA60","CAA90","CAA90","CAA90","CACB0","CACB0","CACB0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,4.867627,1.180317,0.646309,0.695435,0.103296,0.679423,0.000963,0.773559,0.103849,0.598344,0.524696,0.780711,0.101741,0.753979,0.574623,0.685924,0.101224,0.757334,0.836644,0.541545,0.106372,0.608034,0.891492,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685788,0.101862,0.757381,0.541199,0.106111,0.608011
1,0.010000,4.867627,1.180317,0.646309,0.695435,0.103296,0.679423,0.000963,0.773559,0.103849,0.598344,0.524696,0.780711,0.101741,0.753979,0.574623,0.685924,0.101224,0.757334,0.836644,0.541545,0.106372,0.608034,0.891492,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685788,0.101862,0.757381,0.541199,0.106111,0.608011
2,0.020000,4.890815,1.188155,0.628317,0.695392,0.103303,0.679408,0.000983,0.773483,0.103838,0.598297,0.505881,0.780698,0.101711,0.753929,0.589163,0.685912,0.101225,0.757324,0.837359,0.541474,0.106436,0.608083,0.874808,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685792,0.101862,0.757377,0.541056,0.106167,0.608020
3,0.030000,4.889712,1.165707,0.642738,0.695368,0.103303,0.679476,0.000975,0.773461,0.103832,0.598366,0.517337,0.780673,0.101763,0.753999,0.567407,0.685887,0.101252,0.757392,0.830686,0.541451,0.106367,0.608145,0.881137,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685700,0.101899,0.757463,0.541059,0.106098,0.608128
4,0.040000,4.837059,1.166743,0.627203,0.695407,0.103338,0.679414,0.000962,0.773574,0.103845,0.598376,0.532833,0.780643,0.101776,0.754015,0.562344,0.685854,0.101290,0.757321,0.827951,0.541556,0.106443,0.607943,0.888366,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685681,0.101949,0.757413,0.541197,0.106180,0.607906
5,0.050000,4.881179,1.194254,0.622271,0.695403,0.103314,0.679403,0.000979,0.773507,0.103848,0.598306,0.532833,0.780696,0.101705,0.753938,0.562344,0.685910,0.101229,0.757317,0.827951,0.541497,0.106472,0.608053,0.888366,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685792,0.101862,0.757377,0.541089,0.106206,0.607989
6,0.060000,4.849096,1.106021,0.609357,0.695408,0.103333,0.679368,0.000932,0.773558,0.103735,0.598312,0.510993,0.780660,0.101832,0.753952,0.588195,0.685872,0.101371,0.757279,0.838428,0.541542,0.106395,0.607927,0.877460,0.774386,0.104359,0.599865,0.780651,0.100754,0.752594,0.685654,0.102058,0.757267,0.541210,0.106120,0.607968
7,0.070000,4.868976,1.134812,0.633207,0.695378,0.103333,0.679438,0.000966,0.773500,0.103807,0.598356,0.533161,0.780656,0.101824,0.753993,0.566389,0.685869,0.101325,0.757352,0.819821,0.541486,0.106375,0.608051,0.891705,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685657,0.102000,0.757366,0.541137,0.106105,0.608068
8,0.080000,4.868321,1.180207,0.646053,0.695436,0.103296,0.679421,0.000963,0.773559,0.103848,0.598341,0.517650,0.780713,0.101740,0.753976,0.559735,0.685926,0.101224,0.757333,0.823183,0.541545,0.106373,0.608034,0.889480,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685792,0.101862,0.757377,0.541199,0.106111,0.608011
9,0.090000,4.851413,0.969003,0.553164,0.695188,0.103529,0.680193,0.001978,0.773333,0.103670,0.599133,0.618778,0.780443,0.102146,0.754776,0.350800,0.685655,0.101766,0.758110,0.000001,0.541320,0.106533,0.608754,0.788924,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.684604,0.103926,0.761581,0.541177,0.106016,0.608102
10,0.100000,4.873967,1.162210,0.623116,0.695361,0.103330,0.679432,0.000978,0.773476,0.103825,0.598343,0.513641,0.780645,0.101768,0.753978,0.570992,0.685858,0.101289,0.757345,0.827834,0.541464,0.106439,0.608060,0.877094,0.774351,0.104438,0.599969,0.780651,0.100754,0.752594,0.685677,0.101949,0.757416,0.541056,0.106167,0.608020
