Format Version,1.23,Take Name,140120211617_run_001,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-01-14 05.17.09.378 ,Total Frames in Take,12388,Total Exported Frames,12388,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,robot-tricyc,"robot-tricyc:Marker1","robot-tricyc:Marker1","robot-tricyc:Marker1","robot-tricyc:Marker1","robot-tricyc:Marker2","robot-tricyc:Marker2","robot-tricyc:Marker2","robot-tricyc:Marker2","robot-tricyc:Marker3","robot-tricyc:Marker3","robot-tricyc:Marker3","robot-tricyc:Marker3","robot-tricyc:Marker4","robot-tricyc:Marker4","robot-tricyc:Marker4","robot-tricyc:Marker4",robot-tricyc:Marker1,robot-tricyc:Marker1,robot-tricyc:Marker1,robot-tricyc:Marker2,robot-tricyc:Marker2,robot-tricyc:Marker2,robot-tricyc:Marker3,robot-tricyc:Marker3,robot-tricyc:Marker3,robot-tricyc:Marker4,robot-tricyc:Marker4,robot-tricyc:Marker4
,ID,"24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","24910468567B11EB71FA93A4FC8ADE80","D8370","D8370","D8370","D8330","D8330","D8330","D83C0","D83C0","D83C0","D8360","D8360","D8360"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.820964,0.978502,0.097567,1.364129,0.717421,0.982091,0.098253,1.227491,0.826516,1.130686,0.094382,1.368155,0.749490,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
1,0.010000,179.692123,0.500074,2.882810,1.038554,0.096790,1.297244,0.000533,1.062835,0.096859,1.229157,0.819015,0.978532,0.097570,1.364140,0.723579,0.982132,0.098247,1.227502,0.825305,1.130718,0.094483,1.368179,0.753865,1.063020,0.096204,1.229404,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131548,0.094932,1.367897
2,0.020000,179.685120,0.485474,2.913562,1.038522,0.096758,1.297251,0.000531,1.062812,0.096831,1.229166,0.815661,0.978493,0.097553,1.364139,0.720437,0.982110,0.098263,1.227501,0.829562,1.130676,0.094384,1.368196,0.744381,1.062976,0.096187,1.229485,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
3,0.030000,179.708618,0.490126,2.933127,1.038532,0.096743,1.297221,0.000533,1.062793,0.096803,1.229126,0.815661,0.978530,0.097564,1.364133,0.720437,0.982091,0.098262,1.227494,0.829562,1.130714,0.094343,1.368129,0.744381,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131586,0.094795,1.367817
4,0.040000,179.693207,0.512802,2.894590,1.038522,0.096777,1.297239,0.000522,1.062802,0.096825,1.229151,0.821921,0.978502,0.097584,1.364135,0.711346,0.982099,0.098230,1.227497,0.829028,1.130687,0.094467,1.368172,0.742300,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131548,0.094932,1.367897
5,0.050000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.820296,0.978512,0.097551,1.364120,0.717332,0.982121,0.098268,1.227482,0.829336,1.130696,0.094395,1.368168,0.752056,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
6,0.060000,179.682938,0.495997,2.887008,1.038538,0.096784,1.297237,0.000543,1.062829,0.096856,1.229153,0.819037,0.978505,0.097564,1.364123,0.717366,0.982127,0.098250,1.227485,0.825060,1.130690,0.094465,1.368186,0.751281,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094914,1.367893
7,0.070000,179.683334,0.508615,2.929712,1.038543,0.096782,1.297208,0.000542,1.062834,0.096821,1.229124,0.819037,0.978511,0.097622,1.364094,0.717366,0.982133,0.098276,1.227456,0.825060,1.130694,0.094411,1.368158,0.751281,1.063020,0.096204,1.229404,0.977518,0.097186,1.363815,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
8,0.080000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.824271,0.978502,0.097567,1.364129,0.720021,0.982091,0.098253,1.227491,0.828867,1.130686,0.094382,1.368155,0.754085,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
9,0.090000,179.691696,0.509186,2.898425,1.038518,0.096773,1.297238,0.000518,1.062799,0.096824,1.229150,0.819586,0.978495,0.097580,1.364132,0.717411,0.982096,0.098234,1.227494,0.822245,1.130680,0.094452,1.368173,0.748616,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094914,1.367893
10,0.100000,179.700897,0.513240,2.894188,1.038534,0.096779,1.297245,0.000508,1.062804,0.096827,1.229153,0.819454,0.978523,0.097587,1.364149,0.723605,0.982101,0.098231,1.227510,0.822468,1.130708,0.094470,1.368166,0.751150,1.062943,0.096164,1.229404,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131548,0.094932,1.367897
11,0.110000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.819454,0.978512,0.097551,1.364120,0.723605,0.982121,0.098268,1.227482,0.822468,1.130696,0.094395,1.368168,0.751150,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
12,0.120000,179.693893,0.498614,2.925022,1.038502,0.096747,1.297251,0.000506,1.062781,0.096800,1.229163,0.820296,0.978483,0.097570,1.364148,0.717332,0.982079,0.098248,1.227510,0.829336,1.130666,0.094370,1.368184,0.752056,1.062898,0.096147,1.229485,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
13,0.130000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.820964,0.978502,0.097567,1.364129,0.717421,0.982091,0.098253,1.227491,0.826516,1.130686,0.094382,1.368155,0.749490,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
14,0.140000,179.701767,0.499153,2.924700,1.038514,0.096749,1.297258,0.000492,1.062783,0.096801,1.229166,0.815774,0.978504,0.097572,1.364163,0.728638,0.982081,0.098249,1.227524,0.827599,1.130688,0.094373,1.368177,0.747190,1.062898,0.096147,1.229485,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
15,0.150000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.815774,0.978502,0.097567,1.364129,0.728638,0.982091,0.098253,1.227491,0.827599,1.130686,0.094382,1.368155,0.747190,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
16,0.160000,179.692123,0.500074,2.882810,1.038554,0.096790,1.297244,0.000533,1.062835,0.096859,1.229157,0.820964,0.978532,0.097570,1.364140,0.717421,0.982132,0.098247,1.227502,0.826516,1.130718,0.094483,1.368179,0.749490,1.063020,0.096204,1.229404,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131548,0.094932,1.367897
17,0.170000,179.703659,0.516262,2.954198,1.038537,0.096761,1.297201,0.000531,1.062804,0.096781,1.229108,0.825546,0.978529,0.097635,1.364107,0.713937,0.982103,0.098270,1.227468,0.828824,1.130711,0.094359,1.368118,0.744339,1.062943,0.096164,1.229403,0.977518,0.097186,1.363815,0.982074,0.098921,1.227677,1.131586,0.094795,1.367817
18,0.180000,179.708618,0.490126,2.933127,1.038532,0.096743,1.297221,0.000533,1.062793,0.096803,1.229126,0.821921,0.978530,0.097564,1.364133,0.711346,0.982091,0.098262,1.227494,0.829028,1.130714,0.094343,1.368129,0.742300,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131586,0.094795,1.367817
19,0.190000,179.697205,0.495529,2.919795,1.038518,0.096753,1.297228,0.000519,1.062793,0.096812,1.229139,0.821921,0.978502,0.097567,1.364129,0.711346,0.982091,0.098253,1.227491,0.829028,1.130686,0.094382,1.368155,0.742300,1.062943,0.096164,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
20,0.200000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.820964,0.978512,0.097551,1.364120,0.717421,0.982121,0.098268,1.227482,0.826516,1.130696,0.094395,1.368168,0.749490,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
21,0.210000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.820296,0.978512,0.097551,1.364120,0.717332,0.982121,0.098268,1.227482,0.829336,1.130696,0.094395,1.368168,0.752056,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
22,0.220000,179.712021,0.508259,2.906829,1.038548,0.096769,1.297237,0.000522,1.062805,0.096818,1.229141,0.820435,0.978550,0.097584,1.364153,0.717686,0.982102,0.098240,1.227514,0.824826,1.130735,0.094434,1.368140,0.744152,1.062943,0.096164,1.229404,0.977547,0.097114,1.363932,0.982074,0.098921,1.227677,1.131605,0.094895,1.367861
23,0.230000,179.688538,0.482409,2.908435,1.038538,0.096764,1.297228,0.000545,1.062823,0.096843,1.229142,0.820435,0.978512,0.097551,1.364120,0.717686,0.982121,0.098268,1.227482,0.824826,1.130696,0.094395,1.368168,0.744152,1.063020,0.096204,1.229404,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094834,1.367855
24,0.240000,179.679596,0.499030,2.892160,1.038522,0.096777,1.297260,0.000530,1.062818,0.096843,1.229177,0.820296,0.978486,0.097566,1.364142,0.717332,0.982115,0.098245,1.227505,0.829336,1.130670,0.094454,1.368215,0.752056,1.062976,0.096187,1.229485,0.977496,0.097105,1.363902,0.982074,0.098921,1.227677,1.131528,0.094914,1.367893
